segment_id,run_id,condition,baseline_joint_world_count,possible_joint_world_count,excluded_joint_world_count,synergy_class
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,COMBINED_CROSS_MODAL_ORDER,14790,14790,0,NO_EXCLUSION
TERGS_F01D7DE8D068D8533122,R01ZF,OPTICAL_ORDER_ALONE,20592,20592,0,NO_EXCLUSION
TERGS_F01D7DE8D068D8533122,R01ZF,SAR_PAIR_GEOMETRY_ALONE,20592,20592,0,NO_EXCLUSION
TERGS_F01D7DE8D068D8533122,R01ZF,COMBINED_CROSS_MODAL_ORDER,20592,20592,0,NO_EXCLUSION
TERGS_2329DA3AFF8E7609BCB2,R01ZF,OPTICAL_ORDER_ALONE,14352,14352,0,NO_EXCLUSION
TERGS_2329DA3AFF8E7609BCB2,R01ZF,SAR_PAIR_GEOMETRY_ALONE,14352,14352,0,NO_EXCLUSION
TERGS_2329DA3AFF8E7609BCB2,R01ZF,COMBINED_CROSS_MODAL_ORDER,14352,14352,0,NO_EXCLUSION
TERGS_333C24F63385DAFD9021,R01ZF,OPTICAL_ORDER_ALONE,34,34,0,NO_EXCLUSION
TERGS_333C24F63385DAFD9021,R01ZF,SAR_PAIR_GEOMETRY_ALONE,34,34,0,NO_EXCLUSION
TERGS_333C24F63385DAFD9021,R01ZF,COMBINED_CROSS_MODAL_ORDER,34,34,0,NO_EXCLUSION
TERGS_2A1E38ABAA50E3792676,R01ZF,OPTICAL_ORDER_ALONE,21,21,0,NO_EXCLUSION
TERGS_2A1E38ABAA50E3792676,R01ZF,SAR_PAIR_GEOMETRY_ALONE,21,21,0,NO_EXCLUSION
TERGS_2A1E38ABAA50E3792676,R01ZF,COMBINED_CROSS_MODAL_ORDER,21,21,0,NO_EXCLUSION
TERGS_5CE262A17741C5FC8BFB,R02ZF,OPTICAL_ORDER_ALONE,100,100,0,NO_EXCLUSION
TERGS_5CE262A17741C5FC8BFB,R02ZF,SAR_PAIR_GEOMETRY_ALONE,100,100,0,NO_EXCLUSION
TERGS_5CE262A17741C5FC8BFB,R02ZF,COMBINED_CROSS_MODAL_ORDER,100,91,9,CROSS_MODAL_ORDER_SYNERGY
TERGS_DA539F692DB3CF52F38F,R02ZF,OPTICAL_ORDER_ALONE,110,110,0,NO_EXCLUSION
TERGS_DA539F692DB3CF52F38F,R02ZF,SAR_PAIR_GEOMETRY_ALONE,110,110,0,NO_EXCLUSION
TERGS_DA539F692DB3CF52F38F,R02ZF,COMBINED_CROSS_MODAL_ORDER,110,101,9,CROSS_MODAL_ORDER_SYNERGY
TERGS_A6E046163A60B75E621B,R02ZF,OPTICAL_ORDER_ALONE,323,323,0,NO_EXCLUSION
TERGS_A6E046163A60B75E621B,R02ZF,SAR_PAIR_GEOMETRY_ALONE,323,323,0,NO_EXCLUSION
