order_profile_id,segment_id,run_id,track_a,track_b,segment_frame_count,paired_raw_interval_frame_count,raw_relation_set,whole_segment_optical_order,whole_segment_definite_order,overlap_or_uncertain_frame_set,unavailable_frame_set,nominal_frame_equality_used_as_hard_timing_authority,manual_reference_used
TERGOP_EB6CCAB0DAAA1E055CD1,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,8,8,{OPTICAL_OVERLAP_OR_UNCERTAIN},NO_WHOLE_SEGMENT_DEFINITE_ORDER,False,63;64;65;66;67;68;69;70,,False,False
TERGOP_7B1DFFF1BD03840B97B5,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,8,8,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_E34BD258DD9BFD085526,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,8,8,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_9038682A68020427B4C7,TERGS_5CE262A17741C5FC8BFB,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,8,5,{A_LEFT_OF_B},A_LEFT_OF_B,True,,469;470;471,False,False
TERGOP_5DC518443F94454B8E13,TERGS_DA539F692DB3CF52F38F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,8,6,{A_LEFT_OF_B},A_LEFT_OF_B,True,,470;471,False,False
TERGOP_B7089067C25D468826C9,TERGS_A6E046163A60B75E621B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,9,9,{A_LEFT_OF_B},A_LEFT_OF_B,True,,,False,False
TERGOP_16D7746183432655D65A,TERGS_6436F78EE3B62E359C28,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,23,23,{A_LEFT_OF_B},A_LEFT_OF_B,True,,,False,False
TERGOP_14D185AC4AAF28B8675F,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,8,8,{A_LEFT_OF_B},A_LEFT_OF_B,True,,,False,False
TERGOP_11A469429C8A81905FE0,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,480,False,False
TERGOP_76426792894736EAE2FA,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,8,2,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,480;481;482;483;484;485,False,False
