segment_id,run_id,track_count,track_ids,static_physical_region_incidence_sum_separate_unit,temporal_family_domain_size_sum_separate_unit,N_temporal_joint_worlds,N_possible_joint_worlds,N_excluded_joint_worlds,joint_world_contraction_fraction,N_possible_family_assignments_across_tracks,N_necessary_family_assignments_across_tracks,N_excluded_family_assignments_across_tracks,active_cross_modal_pair_factor_count,logically_excluded_family_pairing_count,same_unit_contraction_claimed_only_for_joint_worlds,static_and_temporal_units_compared_as_reduction,manual_reference_used
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,4,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON023,167,55,19040,17044,1996,0.10483193277310925,55,0,0,2,35,True,False,False
TERGS_E7F91D8684FAAF6A9219,R02ZF,3,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021,100,34,1386,1195,191,0.1378066378066378,34,0,0,2,21,True,False,False
TERGS_60EB5053F2693E18D58B,R02ZF,5,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON023;R02ZF_REUSED_R02ZF_PERSON024,190,62,124032,103368,20664,0.16660216718266255,62,0,0,3,42,True,False,False
TERGS_409886F81D9E45334F4F,R02ZF,1,R02ZF_REUSED_R02ZF_PERSON021,89,31,31,31,0,0.0,31,0,0,0,0,True,False,False
TERGS_6C426359C612628C7A31,R02ZF,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021,231,63,992,965,27,0.02721774193548387,63,0,0,1,27,True,False,False
TERGS_38238A43231066968F66,R02ZF,2,R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021,225,58,837,827,10,0.011947431302270013,58,0,0,1,10,True,False,False
TERGS_406E06BEE8B19831E091,R02ZF,5,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON023;R02ZF_REUSED_R02ZF_PERSON024,290,86,801504,586218,215286,0.2686025272487723,86,0,0,5,139,True,False,False
TERGS_4B565EEA0C6931299151,R02ZF,1,R02ZF_REUSED_R02ZF_PERSON024,34,11,11,11,0,0.0,11,0,0,0,0,True,False,False
TERGS_8D6DB9A2F108568B32AA,R02ZF,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024,118,35,264,263,1,0.003787878787878788,35,0,0,1,1,True,False,False
TERGS_A923293CFBC550AE18D7,R02ZF,2,R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024,108,33,242,242,0,0.0,33,0,0,0,0,True,False,False
TERGS_F66D1A1E88076E254C22,R02ZF,2,R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,96,32,231,214,17,0.0735930735930736,32,0,0,1,17,True,False,False
TERGS_48FABD798C7CE3742190,R02ZF,5,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON023;R02ZF_REUSED_R02ZF_PERSON024,261,82,487872,349452,138420,0.2837219598583235,82,0,0,5,142,True,False,False
TERGS_1BB7B9183580C17A201F,R02ZF,4,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,197,63,52326,33226,19100,0.3650193020678057,63,0,0,5,124,True,False,False
TERGS_CAAB4EA22C44536DF2CC,R02ZF,4,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,197,63,52326,33226,19100,0.3650193020678057,63,0,0,5,124,True,False,False
TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,1,R03ZF_I01_T0004,151,62,62,62,0,0.0,62,0,0,0,0,True,False,False
TERGS_6EA858FDC375FA946246,R03ZF,1,R03ZF_I01_T0004,151,62,62,62,0,0.0,62,0,0,0,0,True,False,False
