segment_id,run_id,track_id,family_id,physical_observable_membership_signature_sha256,r0_constraint_signature_sha256,full_observational_signature_sha256,true_observational_equivalence_class_size,true_observational_equivalence_merge_allowed,r0_compatibility_status_alone_used_to_merge
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_95087FB1A6571DBFE2FC,32c7442f668f1b66db2589660d5742d4e1c00c88b7a41a5faa27e789d4e2e938,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,f3aa2488bed7da7b3b9d597117da6c50ffab82cc1b881db3b05478c61798a344,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_A2FFE4C69E7D7F51E6E8,92e1c8a7971e6cc73de275c601a74b9c41549524944ed9a2f589c75983db3685,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,d67f5fc66185d98a4f39e4a829065fd25ceec41832effabd04908040dd67084d,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_464BA3D2BDD4EE2F9C6E,405a986865984fc3fedaa105109ee2ecc147755543b0932eed7e8d692d8650a5,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,314bacc8747b1a440e4b19f538ebc2afd133a1b6ddfa02f5af302d882e13d47c,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_E2DE8D5C30C88B0811B2,25476e0d396bf91a49291aaff92b0bc452c0a649147d58d542e8a5acde6a03c2,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,d1a3423eef6430f95017e3e7199c0e480f2abcce73d2beddfff53f305d86888e,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_FF214C025D91308C1820,0c0db5b36c1d3817d6255ba65b11b0ed3fce764eb28667511b70c4d62429eb04,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,0e4e5e6ded7b5f3f90a7254992d834fb70518b6810148e77b3cd83806a9df7c4,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_65E4793CFB75A993F415,f7663c9cb092f1bc9fa0955a5d6da7c2a21bc8dc0248e7e14c70ca1efe0d7566,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,d077df4b6619b94cc274f7c51392535b2a99852f8cceaa0664b49dcd6a5d42fc,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_6EFC7EB2ED1444615FA2,0aa71f1df4a47b8e27e9362c835d67c3e86ce31a373f34124ca5459db2719d74,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,ecdba70324a76bea52aafb2e3687926f36a811e204feadb13f24a506f866d702,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_83DA1F5E36437CD53E19,1bf96039a56aec62d8a0603b5fb3280e8ea13fdf627f13a27c676db53b8764ae,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,a735261a23b42c6bc596fedffe3b395aff9100108763cbfd2ed67f57a91a7da9,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_EB88DFED7528772995E5,9dfd27942a0fad6c2dd9c0da5c81bcc2f404a8af69176e9215c1f8cb359bc8f8,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,b7553e01493e1b1886c4a0cd8bb7b1ec372a6a38b04cc4269761f0bf071f5ae4,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_2B3FFDDA740669C985CC,ba413db8666c63ee9cf15b9c3439c5a1cdbd1984e7ae85dc1b49c75887dd70a6,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,f788a053cfef3d4426e20ea55a4a4a9d70509a63352284038870dfd5c4252934,1,False,False
