sar_frame_index,near_state,far_state,pair_safe_state,scene_boundary_state,accepted_as_optional_scene_context
51,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
52,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
53,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
54,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
55,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
56,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
57,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
58,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
59,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
60,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
61,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
62,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
63,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
64,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
65,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
66,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
67,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
68,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
69,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
70,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
71,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
72,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
73,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
74,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
75,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
76,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
77,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
78,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
79,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
80,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
81,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
82,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
83,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
84,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
85,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
86,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
87,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
88,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
89,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
90,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
91,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
92,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
93,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
94,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
95,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
96,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
97,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
98,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
99,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
100,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
101,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
102,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
103,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
104,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
105,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
106,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
107,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
108,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
109,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
110,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
111,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
112,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
113,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
114,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
115,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
116,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
117,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
118,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
119,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
120,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
121,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
122,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
123,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
124,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
125,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
126,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
127,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
128,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
129,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
130,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
131,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
132,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
133,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
134,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
135,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
136,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
137,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
138,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
139,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
140,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
141,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
142,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
143,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
144,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
145,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
146,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
147,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
148,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
149,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
150,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
151,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
152,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
153,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
154,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
155,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
156,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
157,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
158,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
159,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
160,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
161,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
162,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
163,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
164,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
165,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
166,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
167,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
168,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
169,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
170,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
171,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
172,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
173,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
174,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
175,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
176,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
177,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
178,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
179,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
180,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
181,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
182,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
183,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
184,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
185,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
186,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
187,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
188,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
189,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
190,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
191,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
192,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
193,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
194,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
195,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
196,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
197,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
198,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
199,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
200,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
201,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
202,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
203,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
204,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
205,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
206,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
207,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
208,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
209,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
210,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
211,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
212,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
213,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
214,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
215,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
216,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
217,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
218,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
219,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
220,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
221,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
222,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
223,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
224,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
225,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
226,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
227,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
228,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
229,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
230,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
231,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
232,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
233,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
234,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
235,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
236,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
237,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
238,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
239,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
240,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
241,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
242,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
243,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
244,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
245,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
246,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
247,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
248,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
249,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
250,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
251,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
252,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
253,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
254,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
255,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
256,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
257,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
258,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
259,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
260,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
261,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
262,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
263,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
264,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
265,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
266,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
267,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
268,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
269,SUPPORTED,SUPPORTED,SUPPORTED,BOTH_SUPPORTED,True
270,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
271,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
272,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
273,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
274,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
275,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
276,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
277,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
278,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
279,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
280,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
281,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
282,SUPPORTED,UNKNOWN,UNKNOWN,PARTIAL,False
283,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
284,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
285,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
286,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
287,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
288,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
289,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
290,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
291,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
292,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
293,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
294,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
295,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
296,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
297,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
298,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
299,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
300,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
301,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
302,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
303,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
304,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
305,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
306,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
307,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
308,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
309,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
310,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
311,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
312,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
313,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
314,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
315,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
316,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
317,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
318,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
319,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
320,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
321,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
322,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
323,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
324,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
325,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
326,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
327,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
328,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
329,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
330,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
331,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
332,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
333,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
334,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
335,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
336,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
337,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
338,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
339,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
340,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
341,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
342,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
343,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
344,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
345,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
346,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
347,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
348,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
349,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
350,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
351,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
352,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
353,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
354,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
355,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
356,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False
