component_index,start_frame,end_frame,frame_count,state
1,59,164,106,BOTH_SUPPORTED_PAIR_SAFE
2,166,269,104,BOTH_SUPPORTED_PAIR_SAFE
3,406,481,76,BOTH_SUPPORTED_PAIR_SAFE
