window_id,run_id,source_sar_frame,destination_sar_frame,source_optical_frame,destination_optical_frame,raw_track_fragment_id,d_left_observed_deg,d_right_observed_deg,d_mid_observed_deg,d_width_observed_deg,background_gmc_state,hybrid_common_state,reference_used,d_left_common_deg,d_right_common_deg,d_mid_common_deg,common_uncertainty_deg,residual_left_low_deg,residual_left_high_deg,residual_right_low_deg,residual_right_high_deg,residual_mid_descriptor_deg,optical_residual_state
CMRW_E20C88BD99A6BB279A7C,R01ZF,0,1,0,1,R01ZF_REUSED_R01ZF_PERSON001,1.9318034449040227,1.7715915424499578,1.85169749367699,-0.16021190245406508,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_AGREE,False,0.913937023686737,0.9311574836027555,0.9225472536447463,1.1557813293968582,-0.13791490817957253,2.173647750614144,-0.31534727054965606,1.9962153882440603,0.9291502400322438,OPTICAL_RESIDUAL_COMMON_COMPATIBLE
CMRW_E20C88BD99A6BB279A7C,R01ZF,0,1,0,1,R01ZF_REUSED_R01ZF_PERSON002,1.8488647869630577,1.7710870097986484,1.809975898380853,-0.07777777716440926,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_AGREE,False,0.914201708098346,0.9312000449672226,0.9227008765327843,1.1557813293968582,-0.2211182505321463,2.09044440826157,-0.3158943645654324,1.995668294228284,0.8872750218480686,OPTICAL_RESIDUAL_COMMON_COMPATIBLE
CMRW_647218ED24B5BC1097F0,R01ZF,2,3,1,2,R01ZF_REUSED_R01ZF_PERSON001,1.9771560477709373,1.8338801671892948,1.9055181074801162,-0.1432758805816426,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_MILD_DISAGREEMENT,False,0.9122465023754341,0.9308117516648894,0.9215291270201618,0.8648296472734026,0.20007989812210059,1.9297391926689058,0.03823876825100281,1.767898062797808,0.9839889804599544,OPTICAL_RESIDUAL_ABOVE_COMMON
CMRW_647218ED24B5BC1097F0,R01ZF,2,3,1,2,R01ZF_REUSED_R01ZF_PERSON002,1.8424637323756308,1.8077063152048842,1.8250850237902574,-0.0347574171707464,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_MILD_DISAGREEMENT,False,0.9130822546353037,0.93129979084354,0.9221910227394219,0.8648296472734026,0.06455183046692436,1.7942111250137298,0.01157687708794164,1.7412361716347469,0.9028940010508355,OPTICAL_RESIDUAL_ABOVE_COMMON
CMRW_957454ADF3029E372DF9,R01ZF,4,5,2,3,R01ZF_REUSED_R01ZF_PERSON001,2.102547873356973,1.9205588768544233,2.011553375105698,-0.1819889965025498,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_MILD_DISAGREEMENT,False,0.8165295853189117,0.8255274005862199,0.8210284929525657,0.9384456360658238,0.3475726519722375,2.224463924103885,0.15658584020237964,2.033477112334027,1.1905248821531325,OPTICAL_RESIDUAL_ABOVE_COMMON
CMRW_957454ADF3029E372DF9,R01ZF,4,5,2,3,R01ZF_REUSED_R01ZF_PERSON002,2.1153312659952,1.8393388849833485,1.9773350754892742,-0.27599238101185153,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_MILD_DISAGREEMENT,False,0.8240739522471277,0.832804436651898,0.8284391944495129,0.9384456360658238,0.3528116776822485,2.229702949813896,0.06808881226562669,1.9449800843972742,1.1488958810397614,OPTICAL_RESIDUAL_ABOVE_COMMON
CMRW_02B916E25DE01C3833D6,R01ZF,5,6,3,4,R01ZF_REUSED_R01ZF_PERSON001,2.0307919375232473,1.8686310742619685,1.949711505892608,-0.16216086326127885,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_MILD_DISAGREEMENT,False,0.9075150447967673,0.9275114478566865,0.9175132463267268,0.7975441470360279,0.32573274569045196,1.920821039762508,0.14357547936925408,1.73866377344131,1.0321982595658812,OPTICAL_RESIDUAL_ABOVE_COMMON
CMRW_02B916E25DE01C3833D6,R01ZF,5,6,3,4,R01ZF_REUSED_R01ZF_PERSON002,1.8976156613733142,1.8443972317032569,1.8710064465382854,-0.053218429670057424,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_MILD_DISAGREEMENT,False,0.9093487422891557,0.9292201569871155,0.9192844496381356,0.7975441470360279,0.1907227720481306,1.7858110661201865,0.11763292768011357,1.7127212217521692,0.9517219969001498,OPTICAL_RESIDUAL_ABOVE_COMMON
CMRW_AAA186635F864D877AA0,R01ZF,7,8,4,5,R01ZF_REUSED_R01ZF_PERSON001,2.0034096484660733,1.8272447490472465,1.91532719875666,-0.176164899418827,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_MILD_DISAGREEMENT,False,0.7817290328821469,0.805278821513754,0.7935039271979505,0.882344300883604,0.33933631470032233,2.10402491646753,0.13962162664988864,1.9043102284170965,1.1218232715587095,OPTICAL_RESIDUAL_ABOVE_COMMON
CMRW_AAA186635F864D877AA0,R01ZF,7,8,4,5,R01ZF_REUSED_R01ZF_PERSON002,1.8731913984259725,1.8042185298063755,1.838704964116174,-0.0689728686195971,BACKGROUND_GMC_AVAILABLE,COMMON_ESTIMATORS_MILD_DISAGREEMENT,False,0.7937184427872805,0.8168002422656804,0.8052593425264805,0.882344300883604,0.1971286547550879,1.961817256522296,0.10507398665709111,1.8697625884242992,1.0334456215896934,OPTICAL_RESIDUAL_ABOVE_COMMON
