trajectory_id,trajectory_kind,run_id,strict_family_id,admissible_frame_count,unique_frame_count,competing_frame_count,temporal_span_frames,trajectory_length_frames,temporal_occupancy,reselection_after_gap_count,ambiguous_bridge_count,first_offset,last_offset,admissible_offsets,unique_offsets,range_center_min_m,range_center_max_m,theta_center_min_deg,theta_center_max_deg
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_3E25B93C30BAA31101C3,48,5,43,48,48,1.0,0,41,0,47,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47,4;10;12;19;23,17.604028728751203,19.678250645069173,-39.1311092376709,-26.145252227783203
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_75C161848932613BFA04,1,0,1,1,48,0.020833333333333332,0,0,0,0,0,,13.734313233360597,13.734313233360597,-46.94339370727539,-46.94339370727539
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_38B0FE771DA2A299D1A1,3,0,3,3,48,0.0625,0,1,0,2,0;1;2,,14.791236815632809,15.022069807456665,-49.1477108001709,-48.93752098083496
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_41989C7C0E710CB8B77F,1,0,1,1,48,0.020833333333333332,0,0,0,0,0,,15.245722135793988,15.245722135793988,-49.440242767333984,-49.440242767333984
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_23E7AB87DCB52DF920AF,1,0,1,1,48,0.020833333333333332,0,0,1,1,1,,10.57733664741297,10.57733664741297,-34.894548416137695,-34.894548416137695
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_517D4D3701B924E631A1,1,0,1,1,48,0.020833333333333332,0,0,2,2,2,,15.524506209107788,15.524506209107788,-43.89385986328125,-43.89385986328125
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_2A65E27BACC13ECD303D,1,0,1,1,48,0.020833333333333332,0,0,3,3,3,,16.28818220830096,16.28818220830096,-48.909624099731445,-48.909624099731445
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_E1DB70CB368A509E057F,1,0,1,1,48,0.020833333333333332,0,0,3,3,3,,6.155689573355085,6.155689573355085,-35.8427677154541,-35.8427677154541
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_05C16697582972B5E783,3,0,3,3,48,0.0625,0,1,5,7,5;6;7,,16.120442962047967,16.181661292130112,-48.01047134399414,-47.3372745513916
R03_SOURCE_F447_F494,SOURCE_MOVING_PERSON_CORRIDOR,R03ZF,P0MF_101CE461DCA6750E722B,1,0,1,1,48,0.020833333333333332,0,0,6,6,6,,14.638467864508277,14.638467864508277,-38.71299362182617,-38.71299362182617
