control_start,control_end,duration_frames,detected_optical_person_frames,density_profile_mae,mean_density_difference,boundary_profile_mae,p0_availability_difference,temporal_distance_frames,selection_outcome_used,trajectory_id,selection_rule,preserved_nuisance,broken_relation,manual_reference_used
380,427,48,0,16.395833333333332,2.4791666666666643,0.02606881989168322,0.0625,67,False,R03_NULL_380_427,NEAREST_TIME_FULL_NO_PERSON_WINDOW,duration+corridor_width+angular_trajectory_shape+same_run+P0_availability+response_density+boundary_profile,corridor trajectory moved away from its observed optical PERSON time while SAR stream remains unchanged,False
302,349,48,0,6.0,1.2083333333333357,0.020974689570764104,0.02083333333333337,145,False,R03_NULL_302_349,NUISANCE_LEXICOGRAPHIC_MATCH_RANK_1,duration+corridor_width+angular_trajectory_shape+same_run+P0_availability+response_density+boundary_profile,corridor trajectory moved away from its observed optical PERSON time while SAR stream remains unchanged,False
244,291,48,0,7.5625,3.2291666666666643,0.02074708750635981,0.02083333333333337,203,False,R03_NULL_244_291,NUISANCE_LEXICOGRAPHIC_MATCH_RANK_2,duration+corridor_width+angular_trajectory_shape+same_run+P0_availability+response_density+boundary_profile,corridor trajectory moved away from its observed optical PERSON time while SAR stream remains unchanged,False
166,213,48,0,8.5625,7.479166666666664,0.019951674058627654,0.02083333333333326,281,False,R03_NULL_166_213,NUISANCE_LEXICOGRAPHIC_MATCH_RANK_3,duration+corridor_width+angular_trajectory_shape+same_run+P0_availability+response_density+boundary_profile,corridor trajectory moved away from its observed optical PERSON time while SAR stream remains unchanged,False
82,129,48,0,9.5625,9.145833333333336,0.022118042171212892,0.0625,365,False,R03_NULL_082_129,NUISANCE_LEXICOGRAPHIC_MATCH_RANK_4,duration+corridor_width+angular_trajectory_shape+same_run+P0_availability+response_density+boundary_profile,corridor trajectory moved away from its observed optical PERSON time while SAR stream remains unchanged,False
13,60,48,0,10.770833333333334,10.3125,0.021075050871446555,0.10416666666666663,434,False,R03_NULL_013_060,NUISANCE_LEXICOGRAPHIC_MATCH_RANK_5,duration+corridor_width+angular_trajectory_shape+same_run+P0_availability+response_density+boundary_profile,corridor trajectory moved away from its observed optical PERSON time while SAR stream remains unchanged,False
