trajectory_id,trajectory_kind,run_id,strict_family_id,admissible_frame_count,unique_frame_count,competing_frame_count,temporal_span_frames,trajectory_length_frames,temporal_occupancy,reselection_after_gap_count,ambiguous_bridge_count,first_offset,last_offset,admissible_offsets,unique_offsets,range_center_min_m,range_center_max_m,theta_center_min_deg,theta_center_max_deg
R01ZF::R01ZF_REUSED_R01ZF_PERSON001,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_AABDA4043068800183E4,59,0,59,59,101,0.5841584158415841,0,57,42,100,42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100,,4.726453569427102,7.809014891879352,11.200814008712769,54.99006652832031
R01ZF::R01ZF_REUSED_R01ZF_PERSON002,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_AABDA4043068800183E4,56,0,56,56,98,0.5714285714285714,0,54,42,97,42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97,,4.726453569427102,7.559713908593856,11.200814008712769,53.74294662475586
R01ZF::R01ZF_REUSED_R01ZF_PERSON003,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_430B4AA524CCBCD9A612,88,0,88,88,113,0.7787610619469026,0,86,25,112,25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112,,4.74274333856513,7.930292706286915,-20.800870418548584,54.07717323303223
R01ZF::R01ZF_REUSED_R01ZF_PERSON014,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_B185D0E5BCD0F483CE8D,15,4,11,24,35,0.42857142857142855,1,7,10,33,10;11;12;13;14;15;16;17;18;19;20;21;22;32;33,13;19;20;21,18.09540926193373,19.474640594090122,-49.075862884521484,-44.43770408630371
R01ZF::R01ZF_REUSED_R01ZF_PERSON100001,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_2B565D413EE267419671,7,0,7,7,7,1.0,0,5,0,6,0;1;2;3;4;5;6,,12.986650516280664,13.457892266134536,49.48663139343262,51.97810745239258
R01ZF::R01ZF_REUSED_R01ZF_PERSON100002,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_2B565D413EE267419671,7,0,7,7,7,1.0,0,5,0,6,0;1;2;3;4;5;6,,12.986650516280664,13.457892266134536,49.48663139343262,51.97810745239258
R01ZF::R01ZF_REUSED_R01ZF_PERSON100003,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_39FFCBFD307B0A3DFA85,7,0,7,7,7,1.0,0,5,0,6,0;1;2;3;4;5;6,,10.651647792836016,11.048301781223378,-6.6971821784973145,-4.8978272676467896
R01ZF::R01ZF_REUSED_R01ZF_PERSON100004,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_39FFCBFD307B0A3DFA85,7,0,7,7,7,1.0,0,5,0,6,0;1;2;3;4;5;6,,10.651647792836016,11.048301781223378,-6.6971821784973145,-4.8978272676467896
R01ZF::R01ZF_REUSED_R01ZF_PERSON100005,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_0E75BE3EBF246575CBA9,8,0,8,8,8,1.0,0,6,0,7,0;1;2;3;4;5;6;7,,10.066054725267442,10.330106413893159,5.7656062841415405,8.333154678344727
R01ZF::R01ZF_REUSED_R01ZF_PERSON100006,NATURAL_OPTICAL_CORRIDOR,R01ZF,P0MF_1F8BBCA6A179758EDC0A,1,1,0,1,8,0.125,0,0,1,1,1,1,12.744046892517696,12.744046892517696,-40.907386779785156,-40.907386779785156
