bracket_id,sar_frame_index,sar_timestamp_ms,status,reason,required_action
A_EARLY,52,1733,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,53,1767,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,54,1800,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,55,1833,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,56,1867,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,57,1900,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,58,1933,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,59,1967,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,60,2000,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,61,2033,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,62,2067,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,63,2100,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,64,2133,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,65,2167,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,66,2200,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,67,2233,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,68,2267,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,69,2300,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,70,2333,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,71,2367,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,72,2400,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
A_EARLY,73,2433,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
B_MID_LATER,257,8567,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
B_MID_LATER,258,8600,REVIEW_REQUIRED,BIDIRECTIONAL_PATH_INCOMPLETE,MINIMAL_MANUAL_REPAIR_SEED
