order_profile_id,segment_id,run_id,track_a,track_b,old_relative_order_compatibility,possible_relation_set,relation_set_classification,family_a_count,family_b_count,family_pair_space_size,family_pairs_with_common_frames,left_frame_set,right_frame_set,overlap_frame_set,shared_frame_set,definite_order_frame_set,competing_direction_frame_set,unavailable_frame_set,left_family_pair_support_count,right_family_pair_support_count,overlap_family_pair_support_count,shared_family_pair_support_count,old_shared_information_loss_repaired,best_family_pair_selected,weighted_vote_used,manual_reference_used
TERGOP_8E0D94B62305675DA5AC,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,28,29,812,546,18;19;20;21;22;23;24;25,18;19;20;21;22;23;24;25,18;19;20;21;22;23;24;25,18;19;20;21;22;23;24;25,,18;19;20;21;22;23;24;25,,263,76,210,23,True,False,False,False
TERGOP_C848B98F5103131ECADE,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,28,13,364,288,,18;19;20;21;22;23;24;25,18;19;20;21;22;23;24;25,18;19;20;21;22;23;24,,,,0,283,18,1,True,False,False,False
TERGOP_80125FFAF8F65436A1DC,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,29,13,377,303,,18;19;20;21;22;23;24;25,18;19;20;21;22;23;24;25,18;19;20;21;22;23;24,,,,0,295,13,1,True,False,False,False
TERGOP_F1E7B8BD08B6B698C326,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,30,33,990,646,22;23;24;25;26;27;28;29,22;23;24;25;26;27;28;29,22;23;24;25;26;27;28;29,22;23;24;25;26;27;28;29,,22;23;24;25;26;27;28;29,,276,110,260,28,True,False,False,False
TERGOP_0CFEEE44038B08B33769,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,30,15,450,366,,22;23;24;25;26;27;28;29,22;23;24;25;26;27;28,22;23;24;26,29,,,0,364,15,1,True,False,False,False
TERGOP_19EF744EFC8717F6F813,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,33,15,495,401,,22;23;24;25;26;27;28;29,22;23;24;25;26;27;28,22;23;24;26,29,,,0,393,16,2,True,False,False,False
TERGOP_EDCC6D1C572F4032018F,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,29,30,870,590,23;24;25;26;27;28;29;30,23;24;25;26;27;28;29;30,23;24;25;26;27;28;29;30,23;24;25;26;27;28;29;30,,23;24;25;26;27;28;29;30,,244,110,243,27,True,False,False,False
TERGOP_63C58ED3472CE7C59E07,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,29,17,493,378,,23;24;25;26;27;28;29;30,23;24;25;26;27;28,23;24;26,29;30,,,0,377,14,1,True,False,False,False
TERGOP_B64D98653BFC04C6ED9A,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,30,17,510,394,,23;24;25;26;27;28;29;30,23;24;25;26;27;28,23;24;26,29;30,,,0,387,15,2,True,False,False,False
TERGOP_A75EB123ED4EA1E538A7,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,33,24,792,459,36;37;38;39;40;41;42;43,36;37;38;39;40;41;42;43,36;37;38;39;40;41;42;43,36;37;38;39;40;41;42;43,,36;37;38;39;40;41;42;43,,208,75,175,22,True,False,False,False
