run_id,sync_status,sar_nominal_grid_period_ms_median,optical_nominal_grid_period_ms_median,query_grid_residual_min_ms,query_grid_residual_max_ms,query_grid_residual_abs_max_ms,known_timing_uncertainty,known_sync_offset_interval_ms,sync_offset_state,unverified_default_margin_removed_ms,replacement_default_margin_ms,exact_cross_modal_order_authorized,reference_used
R01ZF,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,33.0,56.0,-23,23,23,KNOWN_NOMINAL_GRID_AND_EXPOSED_QUERY_QUANTIZATION_ONLY,UNAVAILABLE,UNRESOLVED_SYNC_OFFSET_NO_BOUNDED_ACQUISITION_PROVENANCE,250,NONE,False,False
R02ZF,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,33.0,56.0,-23,23,23,KNOWN_NOMINAL_GRID_AND_EXPOSED_QUERY_QUANTIZATION_ONLY,UNAVAILABLE,UNRESOLVED_SYNC_OFFSET_NO_BOUNDED_ACQUISITION_PROVENANCE,250,NONE,False,False
R03ZF,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,33.0,56.0,-23,23,23,KNOWN_NOMINAL_GRID_AND_EXPOSED_QUERY_QUANTIZATION_ONLY,UNAVAILABLE,UNRESOLVED_SYNC_OFFSET_NO_BOUNDED_ACQUISITION_PROVENANCE,250,NONE,False,False
