run_id,frame_uid,frame_index,track_id,shell_id,region_id,intersection_pixel_count,intersection_area_m2,region_coverage_fraction,shell_effective_area_px,shell_coverage_fraction,intersection_theta_min_deg,intersection_theta_max_deg,intersection_range_min_m,intersection_range_max_m,temporal_policy,guard_variant,track_node_id,physical_region_id,incidence_id,incidence_semantics,physical_region_duplicated
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0001,687,0.7858537850089891,0.9075297225891678,58661,0.0117113584834898,-36.84493637084961,-26.34600257873535,5.04494047164917,5.976087093353272,SAME_FRAME,CURRENT_G6,TERGN_82264A102101FE58F449,TERGV1PR_5A67A24D995B7A1FC2DD,TERGV1I_CF6E29D0A083D0379D04,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0002,232,0.2653829375867328,0.5201793721973094,58661,0.0039549274645846,-45.39510345458984,-41.60027694702149,6.828363418579102,7.499381065368652,SAME_FRAME,CURRENT_G6,TERGN_6930E40F42A7DFC86230,TERGV1PR_1200DDBEA20D908E10AB,TERGV1I_580AE16372C88BA23EC3,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0007,1508,1.7249890943137636,0.8510158013544018,58661,0.0257070285198002,-32.37929916381836,-26.302684783935547,17.414365768432617,18.993274688720703,SAME_FRAME,CURRENT_G6,TERGN_BF011499B253EC83242B,TERGV1PR_ECA5D79045611F9C0D62,TERGV1I_130061BE4867A2FE379A,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0011,730,0.8350411398203231,1.0,58661,0.0124443838325292,-41.65190505981445,-33.945091247558594,11.875622749328612,13.195693016052246,SAME_FRAME,CURRENT_G6,TERGN_18CD538805F521F015FD,TERGV1PR_67B3BDC139F4FC129C86,TERGV1I_65B11E2279B31F0A16E8,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0018,24,0.0274534073365585,0.0472440944881889,58661,0.0004091304273708,-26.77858543395996,-26.303691864013672,10.864616394042969,11.167123794555664,SAME_FRAME,CURRENT_G6,TERGN_9C73461A120DB937B97C,TERGV1PR_4348FCC6165190CAC714,TERGV1I_7A3D4792B693A8FA8D90,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0020,287,0.3282969960663462,1.0,58661,0.0048925180273094,-36.13178634643555,-33.42591094970703,18.73345375061035,19.23048591613769,SAME_FRAME,CURRENT_G6,TERGN_7CECB3D543AC265C01B5,TERGV1PR_991536FD549413918CD3,TERGV1I_03F69917EAB6E883A15E,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0021,205,0.2344978543331044,1.0,58661,0.0034946557337924,-36.286399841308594,-34.002803802490234,14.618698120117188,15.122797012329102,SAME_FRAME,CURRENT_G6,TERGN_6DA7FC378EAF2E1A5521,TERGV1PR_BF5E62A51F6EC86831B0,TERGV1I_781EB68675309C27E40E,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0029,331,0.3786282428500369,0.9043715846994536,58661,0.0056425904774893,-45.50430679321289,-42.31557083129883,13.456536293029783,13.98073387145996,SAME_FRAME,CURRENT_G6,TERGN_0F42539B31BD11AB1676,TERGV1PR_47F2657DE505B18C7324,TERGV1I_B8C8E9D15B5A08527561,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0034,69,0.0789285460926058,1.0,58661,0.0011762499786911,-30.869035720825195,-29.423992156982425,12.507464408874512,12.79248332977295,SAME_FRAME,CURRENT_G6,TERGN_F7C21D6EC0F4CFA915C8,TERGV1PR_613944E4F69F442062AB,TERGV1I_DC3EE72A73DE8672C722,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__RAW__SAME_FRAME__CURRENT_G6__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0041,16,0.0183022715577057,1.0,58661,0.0002727536182472,-42.75692367553711,-42.277565002441406,14.590237617492676,14.733600616455078,SAME_FRAME,CURRENT_G6,TERGN_7B9FD4B8DF0A0034DABC,TERGV1PR_13B993D12991F1C62E39,TERGV1I_3975209D28A7F95767A2,OPTICAL_CORRIDOR_ADMITS_PHYSICAL_SAR_REGION_NOT_IDENTITY,False
