segment_id,run_id,frame_index,physical_region_id,region_id,conditioned_track_count,conditioned_track_ids,shared_response_semantics
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_0481ED59B3462C97D936,R02ZF_SARF000490__Q095__R0051,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_141DC01FBCE30EE542B8,R02ZF_SARF000490__Q095__R0009,3,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_160C462F2D69D2B79444,R02ZF_SARF000490__Q095__R0026,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_16BAE9FD0C260A20AE53,R02ZF_SARF000490__Q095__R0028,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_19BC129CEA83C997E4CA,R02ZF_SARF000490__Q095__R0022,3,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_2E49C462527D655C6A3B,R02ZF_SARF000490__Q095__R0050,2,R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_7C4E7A409EC5C065D986,R02ZF_SARF000490__Q095__R0020,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_7CB07004310FD5E9F795,R02ZF_SARF000490__Q095__R0043,2,R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_94B019B7A49EBE98A941,R02ZF_SARF000490__Q095__R0045,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_A5CA9B2FA3402A1BE1ED,R02ZF_SARF000490__Q095__R0011,2,R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_A87DB9F7549D4EB77D40,R02ZF_SARF000490__Q095__R0014,3,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_E7D4BAD1184CE7FA35D7,R02ZF_SARF000490__Q095__R0012,3,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_ED5020D4AB53724BA8D8,R02ZF_SARF000490__Q095__R0006,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,490,TERGV1PR_F5FCA2B8F160DC99D0EA,R02ZF_SARF000490__Q095__R0047,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,491,TERGV1PR_1CD3A1F4A6798C3000C5,R02ZF_SARF000491__Q095__R0054,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
TERGS_1BB7B9183580C17A201F,R02ZF,491,TERGV1PR_4866FD3E40D9E9B4270E,R02ZF_SARF000491__Q095__R0027,2,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,ONE_PHYSICAL_SAR_REGION_REFERENCED_BY_MULTIPLE_OPTICAL_INCIDENCES
