scene,frame,class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,model,source
GM_RM017,234,person,0.872955,432.547,285.309,517.555,455.508,YOLO11l,full_368_frame_rescout
GM_RM017,234,person,0.858452,575.487,289.621,617.559,421.943,YOLO11l,full_368_frame_rescout
GM_RM017,235,person,0.877955,613.75,288.546,669.059,421.671,YOLO11l,full_368_frame_rescout
GM_RM017,235,person,0.875333,476.054,284.098,568.262,455.691,YOLO11l,full_368_frame_rescout
GM_RM017,236,person,0.908039,518.802,282.82,617.531,458.328,YOLO11l,full_368_frame_rescout
GM_RM017,236,person,0.887698,652.782,288.594,723.539,424.372,YOLO11l,full_368_frame_rescout
GM_RM017,237,person,0.914451,563.128,281.629,664.928,458.971,YOLO11l,full_368_frame_rescout
GM_RM017,237,person,0.900439,690.119,288.447,774.207,424.681,YOLO11l,full_368_frame_rescout
GM_RM017,238,person,0.919536,726.856,288.66,799.683,424.07,YOLO11l,full_368_frame_rescout
GM_RM017,238,person,0.910837,609.147,278.633,712.236,458.876,YOLO11l,full_368_frame_rescout
GM_RM017,239,person,0.905756,658.931,274.6,761.2,458.131,YOLO11l,full_368_frame_rescout
GM_RM017,239,person,0.840092,765.238,287.726,799.58,420.184,YOLO11l,full_368_frame_rescout
GM_RM017,240,person,0.895576,714.272,271.286,799.69,455.726,YOLO11l,full_368_frame_rescout
GM_RM017,241,person,0.614015,770.657,283.199,799.796,445.326,YOLO11l,full_368_frame_rescout
GM_RM017,323,person,0.128564,42.914,370.796,75.285,421.621,YOLO11l,full_368_frame_rescout
GM_RM017,324,person,0.318641,69.416,368.235,104.769,420.298,YOLO11l,full_368_frame_rescout
GM_RM017,324,person,0.17748,65.057,369.118,106.453,447.162,YOLO11l,full_368_frame_rescout
GM_RM017,325,person,0.438073,99.861,368.571,134.018,420.347,YOLO11l,full_368_frame_rescout
GM_RM017,326,person,0.317756,130.082,365.852,161.677,420.78,YOLO11l,full_368_frame_rescout
GM_RM017,328,person,0.547549,187.946,363.952,217.046,421.132,YOLO11l,full_368_frame_rescout
GM_RM017,329,person,0.145398,218.169,359.756,251.838,411.857,YOLO11l,full_368_frame_rescout
GM_RM017,329,person,0.129645,216.401,359.946,251.578,439.024,YOLO11l,full_368_frame_rescout
GM_RM017,363,person,0.177831,2.552,303.805,51.245,395.457,YOLO11l,full_368_frame_rescout
GM_RM017,364,person,0.148527,26.222,302.025,78.372,395.06,YOLO11l,full_368_frame_rescout
GM_RM017,366,person,0.796673,0.171,363.995,38.697,450.752,YOLO11l,full_368_frame_rescout
GM_RM017,366,person,0.157227,81.644,300.53,136.164,394.987,YOLO11l,full_368_frame_rescout
GM_RM017,367,person,0.840639,14.991,366.461,70.923,456.917,YOLO11l,full_368_frame_rescout
GM_RM017,367,person,0.148006,112.305,303.613,164.41,397.563,YOLO11l,full_368_frame_rescout
