primary_hypothesis_id,control_hypothesis_id,control_family,match_tier,static_distance,direction_used_for_selection,reference_used_for_selection
H_DB7ED38C109957AACBFE,H_E05F09B05F8ADF360DEA,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.06732372416429332,False,False
H_E05F09B05F8ADF360DEA,H_DB7ED38C109957AACBFE,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.06732372416429332,False,False
H_A4B8CAA1A23D21365C13,H_DE97BED4933E34B31A50,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.3307354495555243,False,False
H_DE97BED4933E34B31A50,H_A4B8CAA1A23D21365C13,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.3307354495555243,False,False
H_282A9CF2A395128DD68C,H_A3C1B7C7F78D43BFB938,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.262500762939446,False,False
H_A3C1B7C7F78D43BFB938,H_282A9CF2A395128DD68C,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.262500762939446,False,False
H_2C979B6A9B9E893EEDC1,H_CD46C49B342B14EF9CA4,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.06150186495072065,False,False
H_CD46C49B342B14EF9CA4,H_2C979B6A9B9E893EEDC1,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.06150186495072065,False,False
H_719F981E9EACBB2F2449,H_D98A3930E238269200D7,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.06732372416429332,False,False
H_D98A3930E238269200D7,H_719F981E9EACBB2F2449,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.06732372416429332,False,False
H_20152EF82EAE9F54B992,H_B9F07075EA480A65C269,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_B9F07075EA480A65C269,H_20152EF82EAE9F54B992,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_1B6DB0867EC8A274023F,H_333BF58F6CE255EC91F1,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_333BF58F6CE255EC91F1,H_1B6DB0867EC8A274023F,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_A39571844954E83DE673,H_A3ECE607FF3CF515FA7B,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_A3ECE607FF3CF515FA7B,H_A39571844954E83DE673,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_5B2448613C4DBA275B2B,H_9A42496A65EDECE99BF0,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_9A42496A65EDECE99BF0,H_5B2448613C4DBA275B2B,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_C5EC78234D0988E5C88D,H_D629700D9AD01F642057,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_D629700D9AD01F642057,H_C5EC78234D0988E5C88D,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_597E503ED1BCBE88AF30,H_9E21FA48857B9D0AD2ED,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_9E21FA48857B9D0AD2ED,H_597E503ED1BCBE88AF30,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.22297215768337042,False,False
H_707E06E13AD522EB4FDF,H_DC8444A68DC3DDEED1F8,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
