base_edge_id,pair_index,from_frame,to_frame,d_left_s_deg_v2,d_right_s_deg_v2,d_mid_s_deg_v2,d_width_s_deg_v2,sar_dynamic_state_v2,source_out_degree,destination_in_degree,sar_relation_topology
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0001,0,472,473,0.1348819732666015,2.3153228759765625,1.225102424621582,2.180440902709961,SAR_COHERENT_POSITIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0002,0,472,473,-68.8809814453125,-64.86858177185059,-66.87478160858154,4.012399673461914,SAR_COHERENT_NEGATIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0003,0,472,473,23.79865264892578,24.14957618713379,23.974114418029785,0.3509235382080078,SAR_COHERENT_POSITIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0004,0,472,473,-27.349109649658203,-16.61034631729126,-21.97972798347473,10.738763332366943,SAR_COHERENT_NEGATIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0005,0,472,473,-25.64625024795532,-18.46223735809326,-22.05424380302429,7.1840128898620605,SAR_COHERENT_NEGATIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0006,0,472,473,-14.197999000549316,-3.930110931396485,-9.0640549659729,10.267888069152832,SAR_COHERENT_NEGATIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0007,0,472,473,-46.34432029724121,-45.88228797912598,-46.1133041381836,0.4620323181152344,SAR_COHERENT_NEGATIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0008,0,472,473,-13.19851541519165,-3.014120101928711,-8.10631775856018,10.18439531326294,SAR_COHERENT_NEGATIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0009,0,472,473,-51.82266616821289,-51.82455253601074,-51.823609352111816,-0.0018863677978515,SAR_COHERENT_NEGATIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0010,0,472,473,-46.95027732849121,-47.85102653503418,-47.400651931762695,-0.9007492065429688,SAR_COHERENT_NEGATIVE_SHIFT,60,59,SPLIT_AND_MERGE_LIKE
