timing_condition,primary_base_edge_id,alternative_base_edge_id,alternative_rank,raw_track_fragment_id,branch_pair_available,direction_pairwise_decision,global_pairwise_decision,sar_only_pairwise_outcome,joint_category,pair_index,from_frame,to_frame,supported_hypothesis_id,alternative_hypothesis_id,supported_direction_state,alternative_direction_state,supported_global_direction_state,alternative_global_direction_state,branch_decision_differs_from_global,supported_minus_alternative_retention
SAR_SHIFT_MINUS_1,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0014,2,UNAVAILABLE,False,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,ALTERNATIVE_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,,,,,,,,
SAR_SHIFT_PLUS_1,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0014,2,UNAVAILABLE,False,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,ALTERNATIVE_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,,,,,,,,
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0014,2,R02ZF_REUSED_R02ZF_PERSON017,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,ALTERNATIVE_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_B9A5A8496134D5B17A1C,H_B748C0495DA77C73F3E3,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,-0.0484434817930911
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0014,2,R02ZF_REUSED_R02ZF_PERSON018,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,ALTERNATIVE_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_BD28E2C80F26B9A50B43,H_32AE169DD2A810DC3A41,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,-0.0484434817930911
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0014,2,R02ZF_REUSED_R02ZF_PERSON017,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,ALTERNATIVE_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_23591169A8D77A45E606,H_3D302450E335434E16E8,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,-0.0484434817930911
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0014,2,R02ZF_REUSED_R02ZF_PERSON018,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,ALTERNATIVE_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_CEFEFD68588B86FE8F65,H_1B9662F1EE54DD5C8E21,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,-0.0484434817930911
NOMINAL,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0031,3,R02ZF_REUSED_R02ZF_PERSON017,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_D5FFADBB5BE6ABBB8150,H_90332982A1040C2A4F64,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,0.2649948250534188
NOMINAL,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0031,3,R02ZF_REUSED_R02ZF_PERSON018,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_227FF2A7A656841D0AEB,H_48A0754E6C93243119B6,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,0.2649948250534188
SAR_SHIFT_MINUS_1,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0031,3,UNAVAILABLE,False,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,,,,,,,,
SAR_SHIFT_PLUS_1,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0031,3,UNAVAILABLE,False,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,,,,,,,,
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0031,3,R02ZF_REUSED_R02ZF_PERSON017,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_B9A5A8496134D5B17A1C,H_87A6CF6658EBE527F8F2,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,0.2649948250534188
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0031,3,R02ZF_REUSED_R02ZF_PERSON018,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_BD28E2C80F26B9A50B43,H_D4F04359D5C6202B373D,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,0.2649948250534188
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0031,3,R02ZF_REUSED_R02ZF_PERSON017,True,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION,0.0,472.0,473.0,H_23591169A8D77A45E606,H_0ACD85E46629B9238B40,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,DIRECTION_STRUCTURALLY_INDETERMINATE,False,0.2649948250534188
