timing_condition,pair_index,source_track_id,source_optical_frame_index,destination_optical_frame_index,d_left_o_deg_v2,d_right_o_deg_v2,d_mid_o_deg_v2,d_width_o_deg_v2,optical_dynamic_state_v2,bank_row_multiplicity
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,7,R02ZF_REUSED_R02ZF_PERSON018,288.0,289.0,0.7995426592646915,0.8004557006114013,0.7999991799380464,0.0009130413467097753,OPTICAL_COHERENT_POSITIVE_SHIFT,56
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,20,R02ZF_REUSED_R02ZF_PERSON017,296.0,297.0,0.8628810374235982,0.8760981653892657,0.8694896014064302,0.01321712796566743,OPTICAL_COHERENT_POSITIVE_SHIFT,180
NOMINAL,18,R02ZF_REUSED_R02ZF_PERSON017,294.0,295.0,0.8724183320789365,0.8455723124005132,0.8589953222397231,-0.02684601967842326,OPTICAL_COHERENT_POSITIVE_SHIFT,143
NOMINAL,10,R02ZF_REUSED_R02ZF_PERSON017,289.0,290.0,1.106474284532922,1.1523346751028463,1.1294044798178842,0.04586039056992419,OPTICAL_COHERENT_POSITIVE_SHIFT,72
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,17,R02ZF_REUSED_R02ZF_PERSON017,294.0,295.0,0.8724183320789365,0.8455723124005132,0.8589953222397231,-0.02684601967842326,OPTICAL_COHERENT_POSITIVE_SHIFT,77
SAR_SHIFT_MINUS_1,16,R02ZF_REUSED_R02ZF_PERSON018,292.0,293.0,0.8124212620959028,0.8551356474508118,0.8337784547733573,0.04271438535490901,OPTICAL_COHERENT_POSITIVE_SHIFT,77
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,5,R02ZF_REUSED_R02ZF_PERSON018,287.0,288.0,0.7203098750290096,0.6351431357946247,0.6777265054118153,-0.08516673923438489,OPTICAL_COHERENT_POSITIVE_SHIFT,36
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,0,R02ZF_REUSED_R02ZF_PERSON018,282.0,283.0,0.9113601152113233,0.8947626184760189,0.9030613668436693,-0.016597496735304418,OPTICAL_COHERENT_POSITIVE_SHIFT,42
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,15,R02ZF_REUSED_R02ZF_PERSON017,293.0,294.0,0.879091183286242,0.8774294805811564,0.878260331933701,-0.0016617027050855881,OPTICAL_COHERENT_POSITIVE_SHIFT,63
SAR_SHIFT_PLUS_1,16,R02ZF_REUSED_R02ZF_PERSON018,293.0,294.0,0.9156698005781898,0.8534658071218004,0.8845678038499933,-0.062203993456389384,OPTICAL_COHERENT_POSITIVE_SHIFT,77
