window_id,run_id,source_sar_frame,destination_sar_frame,branch_count,hypothesis_count,concordant_count,contradictory_count,weak_count,structural_indeterminate_count,unavailable_count,possible_rescue_candidate_gt_blind,manual_reference_used,rescue_established
CMRW_02EB8FF2A2CA74D58542,R04ZF,54,55,2,386,0,0,300,86,0,False,False,False
CMRW_0559ED45C3447C0A146B,R04ZF,25,26,2,390,0,0,320,70,0,False,False,False
CMRW_0F73590003263AA9B85B,R04ZF,87,88,2,282,0,0,236,46,0,False,False,False
CMRW_11844D595169699AFFD3,R04ZF,0,1,2,328,0,0,275,53,0,False,False,False
CMRW_14FAAB59A9C400DA4BB1,R04ZF,102,103,1,323,0,0,268,55,0,False,False,False
CMRW_1A99B4029614D7BF4065,R04ZF,44,45,2,384,0,0,342,42,0,False,False,False
CMRW_21BD7EF1DD96D5D97383,R04ZF,29,30,2,390,0,0,315,75,0,False,False,False
CMRW_25FA56966EE12F654A44,R04ZF,7,8,2,314,0,0,268,46,0,False,False,False
CMRW_28205950183EC19DA262,R04ZF,84,85,2,358,0,0,302,56,0,False,False,False
CMRW_288D6E69CE5709E63D8E,R04ZF,75,76,3,762,0,0,627,135,0,False,False,False
CMRW_29438A9E826D3513A2D7,R04ZF,115,116,1,240,0,0,186,54,0,False,False,False
CMRW_29F04999FFD3CE8C210D,R04ZF,40,41,2,407,0,0,365,42,0,False,False,False
CMRW_31EBC41439CAA5AD238A,R04ZF,109,110,1,240,0,0,205,35,0,False,False,False
CMRW_3B31A7A295BAD94A7B4A,R04ZF,64,65,3,888,0,0,737,151,0,False,False,False
CMRW_3F0804AED0B4246F63F8,R04ZF,79,80,3,703,0,0,555,148,0,False,False,False
CMRW_434C54E39AA0C6D3B2FF,R04ZF,117,118,1,323,0,0,251,72,0,False,False,False
CMRW_46E33C97DD35CB4C6F2E,R04ZF,110,111,1,285,0,0,241,44,0,False,False,False
CMRW_47B13CAD702BFC2D9B30,R04ZF,160,161,1,16,0,0,14,2,0,False,False,False
CMRW_49D9349C3EC4DE944248,R04ZF,92,93,2,315,0,0,267,48,0,False,False,False
CMRW_4A04439F525A61DFCFCC,R04ZF,157,158,1,40,0,0,29,11,0,False,False,False
CMRW_4ADCFD00C28615C56B4C,R04ZF,94,95,2,429,0,0,348,81,0,False,False,False
CMRW_4AF0CC4C531B8A87FC15,R04ZF,10,11,2,270,0,0,232,38,0,False,False,False
CMRW_4C99C0EB867E90FC9BB6,R04ZF,137,138,1,266,0,0,228,38,0,False,False,False
CMRW_5183DEB055E7B99A4C24,R04ZF,95,96,2,429,0,0,359,70,0,False,False,False
CMRW_520209D0AC31098992C2,R04ZF,22,23,2,449,0,0,366,83,0,False,False,False
CMRW_54960940797C56288A8A,R04ZF,74,75,3,882,0,0,751,131,0,False,False,False
CMRW_574AFF8B7D3F9B3833A5,R04ZF,155,156,1,56,0,0,41,15,0,False,False,False
CMRW_57D05D42899E0EAD48CE,R04ZF,15,16,2,522,0,0,399,123,0,False,False,False
CMRW_5AC2D5A37668D96F2C32,R04ZF,97,98,1,342,0,0,300,42,0,False,False,False
CMRW_5D5E0B80A6225E620173,R04ZF,125,126,1,380,0,0,332,48,0,False,False,False
CMRW_5E7DC38D519A8314DDB8,R04ZF,112,113,1,252,0,0,203,49,0,False,False,False
CMRW_61FF50902822D3CFCD2D,R04ZF,27,28,2,426,0,0,337,89,0,False,False,False
CMRW_625F100C950D7EF8F253,R04ZF,154,155,1,64,0,0,50,14,0,False,False,False
CMRW_632B2A6783625D0D442B,R04ZF,60,61,2,355,0,0,302,53,0,False,False,False
CMRW_63699252088129E3F123,R04ZF,129,130,1,306,0,0,264,42,0,False,False,False
CMRW_6519020B5D03C799FA56,R04ZF,99,100,1,484,0,0,386,98,0,False,False,False
CMRW_65B37F3C13C13B958BCA,R04ZF,119,120,1,272,0,0,227,45,0,False,False,False
CMRW_689CA26C159445410BA8,R04ZF,17,18,2,455,0,0,336,119,0,False,False,False
