scenario,unit_id,overlap_cluster_id,run_id,entity_id,observed_frame_count,N_region_median,N_region_mean,N_region_max,N_family_median,N_family_mean,N_family_max,A_candidate_px_median,A_candidate_m2_median,A_candidate_over_A_search_support_median,N_joint_world_median_secondary
CURRENT_RUNTIME,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_REUSED_R01ZF_PERSON100007,4,4.0,5.5,13,4.0,5.5,13,581.5,0.665173181925367,0.014365545968550594,1205.5
CURRENT_RUNTIME,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_REUSED_R01ZF_PERSON100008,7,5.0,4.857142857142857,9,5.0,4.857142857142857,9,943.0,1.0786901299322804,0.026142490395991272,5.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON011,9,13.0,13.555555555555555,18,13.0,13.555555555555555,18,3314.0,3.790857996389796,0.07923424180065725,2197.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,41,8.0,8.658536585365853,15,8.0,7.7560975609756095,15,3502.0,4.005909687192838,0.06555571392860543,81.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,41,7.0,8.268292682926829,15,7.0,7.2439024390243905,14,3077.0,3.5197555989412797,0.05407196025123597,81.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,13,7.0,6.615384615384615,11,6.0,5.923076923076923,10,2662.0,3.0450404304132883,0.03607166104630697,1944.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,8,4.0,4.0,5,3.5,3.625,5,1742.5,1.993231761831388,0.03506100814459527,7875.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,6,4.5,4.5,6,4.0,4.166666666666667,6,1917.0,2.192840911007616,0.03148399121712365,10848.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100001,7,9.0,8.428571428571429,12,9.0,8.428571428571429,12,4819.0,5.51241541478649,0.11981772346640342,9.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100002,8,11.5,11.5,14,11.5,11.5,14,4741.5,5.423763786928854,0.11933946349214004,1342.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100003,7,12.0,12.285714285714286,15,12.0,12.285714285714286,15,5169.0,5.9127776051113035,0.12755225773903212,1584.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100004,7,12.0,12.0,14,12.0,12.0,14,4754.0,5.438062436583311,0.12058015085293058,1584.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100005,7,4.0,3.857142857142857,6,4.0,3.857142857142857,6,960.0,1.0981362934623429,0.024424697839421246,4.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100006,8,14.0,13.875,16,14.0,13.875,16,6134.0,7.016633358435428,0.1518222494366891,14.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100007,7,7.0,8.0,11,7.0,8.0,11,2560.0,2.9283634492329145,0.051381117185653476,7.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100008,7,13.0,13.0,14,13.0,13.0,14,5599.0,6.404651153224643,0.14289745041699242,13.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100009,8,8.5,8.5,11,8.5,8.5,11,4281.0,4.897001533658636,0.08481900879712713,104.5
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100010,8,11.5,11.375,16,11.5,11.375,16,4758.0,5.442638004472736,0.09660597684710967,2912.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100011,8,11.0,11.625,16,11.0,11.625,16,4090.5,4.679090112924702,0.08420079745798811,2912.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100012,8,11.0,11.625,16,11.0,11.625,16,4090.5,4.679090112924702,0.08420079745798811,2912.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100013,8,12.0,12.625,16,12.0,12.625,16,7369.5,8.429911890282018,0.186055529194956,12.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100014,7,16.0,15.285714285714286,18,16.0,15.285714285714286,18,3776.0,4.319336087618549,0.094027657065322,272.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100015,8,15.0,14.875,17,15.0,14.875,17,3511.0,4.016204714944047,0.08836884030811003,280.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100016,8,13.5,14.25,18,13.5,14.25,18,2990.0,3.420236997346255,0.07422955108250455,2281.5
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100017,8,12.5,12.5,18,12.5,12.5,18,3262.0,3.7313756138272525,0.08001240165963719,2112.5
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100018,8,11.5,11.875,15,11.5,11.875,15,3880.5,4.438872798729815,0.09873040594816873,1276.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100019,8,11.0,11.125,14,11.0,11.125,14,4076.0,4.662503679325531,0.1018075062631067,189.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100020,7,4.0,4.285714285714286,5,4.0,4.285714285714286,5,1383.0,1.5820025977691876,0.03361645118498749,48.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100021,8,12.0,12.125,14,12.0,12.125,14,4765.5,5.4512171942654115,0.12238740081766966,14488.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100022,7,12.0,12.0,14,12.0,12.0,14,4403.0,5.036556354286142,0.11343326259737113,291200.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100023,8,5.0,5.75,8,5.0,5.75,8,2076.0,2.3747197346123166,0.0501605958907513,226600.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100024,8,4.5,5.0,7,4.5,5.0,7,1569.5,1.795338450613695,0.038379196440948934,226600.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100025,8,5.5,5.75,7,5.5,5.75,7,2211.0,2.529145150880458,0.050641441276636584,226600.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100026,8,4.5,4.75,6,4.5,4.75,6,1784.0,2.040703278684187,0.04232558709955482,226600.0
CURRENT_RUNTIME,R02_FULL,R02_FULL_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100027,8,4.5,4.75,6,4.5,4.75,6,1784.0,2.040703278684187,0.04266535104543352,226600.0
CURRENT_RUNTIME,R03_FULL,R03_FULL_CLUSTER,R03ZF,R03ZF_I01_ANON00001,7,7.0,8.0,14,7.0,8.0,14,1046.0,1.196511003085011,0.025543434294533,2401.0
CURRENT_RUNTIME,R03_FULL,R03_FULL_CLUSTER,R03ZF,R03ZF_I01_ANON00002,7,7.0,7.428571428571429,13,7.0,7.428571428571429,13,1046.0,1.196511003085011,0.026601772121511272,2401.0
CURRENT_RUNTIME,R03_FULL,R03_FULL_CLUSTER,R03ZF,R03ZF_I01_ANON00003,7,6.0,7.285714285714286,14,6.0,7.285714285714286,14,905.0,1.0352222349827294,0.021814462330996067,2401.0
CURRENT_RUNTIME,R03_FULL,R03_FULL_CLUSTER,R03ZF,R03ZF_I01_ANON00004,7,6.0,7.285714285714286,14,6.0,7.285714285714286,14,905.0,1.0352222349827294,0.021801683906322752,2401.0
CURRENT_RUNTIME,R03_FULL,R03_FULL_CLUSTER,R03ZF,R03ZF_I01_T0004,60,4.0,4.583333333333333,14,4.0,4.583333333333333,14,825.5,0.9442828231803791,0.015266369719640398,4.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,41,8.0,8.658536585365853,15,8.0,7.7560975609756095,15,3502.0,4.005909687192838,0.06555571392860543,81.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,41,7.0,8.268292682926829,15,7.0,7.2439024390243905,14,3077.0,3.5197555989412797,0.05407196025123597,81.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,13,7.0,6.615384615384615,11,6.0,5.923076923076923,10,2662.0,3.0450404304132883,0.03607166104630697,1944.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,8,4.0,4.0,5,3.5,3.625,5,1742.5,1.993231761831388,0.03506100814459527,7875.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,6,4.5,4.5,6,4.0,4.166666666666667,6,1917.0,2.192840911007616,0.03148399121712365,10848.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100020,1,5.0,5.0,5,5.0,5.0,5,1383.0,1.5820025977691876,0.03361645118498749,18000.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100021,5,12.0,12.4,14,12.0,12.4,14,4956.0,5.669128614999345,0.12727981501466182,291200.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100022,6,12.0,12.0,14,12.0,12.0,14,4548.0,5.202420690277848,0.11716885720936722,385600.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100023,8,5.0,5.75,8,5.0,5.75,8,2076.0,2.3747197346123166,0.0501605958907513,226600.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100024,8,4.5,5.0,7,4.5,5.0,7,1569.5,1.795338450613695,0.038379196440948934,226600.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100025,8,5.5,5.75,7,5.5,5.75,7,2211.0,2.529145150880458,0.050641441276636584,226600.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100026,8,4.5,4.75,6,4.5,4.75,6,1784.0,2.040703278684187,0.04232558709955482,226600.0
CURRENT_RUNTIME,R02_CRITICAL_CHAIN_F450_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100027,8,4.5,4.75,6,4.5,4.75,6,1784.0,2.040703278684187,0.04266535104543352,226600.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,22,7.0,7.5,15,7.0,7.409090909090909,15,3007.0,3.4396831608763176,0.0563650037294795,63.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,22,6.0,6.7272727272727275,14,6.0,6.636363636363637,14,2665.0,3.048472106330358,0.04801433121954721,63.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100020,1,5.0,5.0,5,5.0,5.0,5,1383.0,1.5820025977691876,0.03361645118498749,18000.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100021,5,12.0,12.4,14,12.0,12.4,14,4956.0,5.669128614999345,0.12727981501466182,291200.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100022,6,12.0,12.0,14,12.0,12.0,14,4548.0,5.202420690277848,0.11716885720936722,385600.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100023,8,5.0,5.75,8,5.0,5.75,8,2076.0,2.3747197346123166,0.0501605958907513,226600.0
