scenario,mode,entity_kind,run_id,frame_index,entity_id,N_region,N_family,A_candidate_px,A_candidate_m2,A_search_support_px_angular_sector_approx,A_search_support_m2_angular_sector_approx,A_candidate_over_A_search_support,search_width_deg,reference_used,N_joint_world
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,0,R01ZF_OPTPERSON001,10,8,5156.0,5.897907009470666,58741.50879618741,67.1939403560738,0.0877743882590678,19.24964595628404,False,64
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,0,R01ZF_OPTPERSON002,9,8,5267.0,6.02487901840225,57490.42903340046,65.762840258644,0.09161524950422632,18.8396659780666,False,64
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,1,R01ZF_OPTPERSON001,10,7,5508.0,6.300556983740191,58741.50879618741,67.1939403560738,0.09376674370266591,19.24964595628404,False,63
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,1,R01ZF_OPTPERSON002,11,9,5880.0,6.726084797456851,57490.42903340046,65.762840258644,0.10227789388358663,18.8396659780666,False,63
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,2,R01ZF_OPTPERSON001,10,9,5612.0,6.41952174886528,64147.63213011308,73.37796143932111,0.08748569220165395,21.021237498733996,False,99
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,2,R01ZF_OPTPERSON002,12,11,5910.0,6.760401556627548,62895.01275411756,71.9451001907015,0.09396611497806062,20.610752987865247,False,99
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,3,R01ZF_OPTPERSON001,9,8,5435.0,6.21705286975816,64147.63213011308,73.37796143932111,0.08472643213043285,21.021237498733996,False,80
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,3,R01ZF_OPTPERSON002,11,10,5846.0,6.687192470396726,62895.01275411756,71.9451001907015,0.09294854622026098,20.610752987865247,False,80
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,4,R01ZF_OPTPERSON001,9,9,5866.0,6.710070309843858,69743.83313125081,79.77941084021657,0.08410779472015517,22.85511766592329,False,99
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,4,R01ZF_OPTPERSON002,11,11,6423.0,7.347218138446487,68411.34259502387,78.25518561258542,0.0938879395778325,22.41845930307013,False,99
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,5,R01ZF_OPTPERSON001,13,13,5800.0,6.634573439668321,75604.53968214252,86.48342601611938,0.07671497008492383,24.775676542777713,False,182
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,5,R01ZF_OPTPERSON002,15,14,6866.0,7.853962282200465,74024.20121781572,84.67568953316957,0.09275344937254833,24.257798188053478,False,182
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,6,R01ZF_OPTPERSON001,11,11,6324.0,7.233972833183184,75604.53968214252,86.48342601611938,0.0836457708305273,24.775676542777713,False,132
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,6,R01ZF_OPTPERSON002,13,12,7227.0,8.2669072842212,74024.20121781572,84.67568953316957,0.09763023283067386,24.257798188053478,False,132
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,7,R01ZF_OPTPERSON001,12,12,5762.0,6.591105544718769,81306.78526810643,93.00617896630938,0.07086739416642776,26.644307617039683,False,156
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,7,R01ZF_OPTPERSON002,14,13,7106.0,8.12849635556605,79652.49570467572,91.11385041474769,0.08921252168101078,26.102195419756736,False,156
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,8,R01ZF_OPTPERSON001,11,11,6014.0,6.879366321752634,75411.76520856656,86.26291284332056,0.07974882942160366,24.712504172135663,False,165
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,8,R01ZF_OPTPERSON002,17,15,7731.0,8.84342883828893,74010.5681911519,84.66009482340992,0.10445805496361876,24.25333063279368,False,165
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,9,R01ZF_OPTPERSON001,17,15,6459.0,7.388398249451325,80987.71781271856,92.64120026545096,0.07975283381779229,26.53974892118291,False,255
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,9,R01ZF_OPTPERSON002,19,17,7668.0,8.771363644030464,79516.25483492456,90.95800557753245,0.09643311315301177,26.057549162600054,False,255
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,10,R01ZF_OPTPERSON001,16,14,7432.0,8.501405138554304,80603.917071536,92.2021736786277,0.09220395571351822,26.413977068587872,False,210
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,10,R01ZF_OPTPERSON002,17,15,7482.0,8.558599737172134,79516.65712096084,90.95846574929993,0.09409349274603399,26.057680992100693,False,210
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,11,R01ZF_OPTPERSON001,19,16,6939.0,7.937466396182497,74187.85961896322,84.86289706445092,0.0935328237752032,24.311429195230904,False,288
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,11,R01ZF_OPTPERSON002,20,18,7237.0,8.278346203944766,73061.59033944721,83.5745666769007,0.09905341461055794,23.942349726105498,False,288
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,12,R01ZF_OPTPERSON001,24,19,6976.0,7.979790399159691,79728.63951097577,91.20095070351898,0.08749678964532757,26.12714781446157,False,399
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,12,R01ZF_OPTPERSON002,25,21,6875.0,7.864257309951674,78430.03288164728,89.71548500498105,0.0876577472608552,25.701593238773185,False,399
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,13,R01ZF_OPTPERSON001,18,16,5912.0,6.762689340572261,73531.54982256489,84.11214955697187,0.08040086213694578,24.096355876938322,False,304
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,13,R01ZF_OPTPERSON002,21,19,6121.0,7.001762762794793,72639.33899992658,83.09155675930623,0.08426563463092894,23.80397757739987,False,304
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,14,R01ZF_OPTPERSON001,23,19,6762.0,7.734997517075377,78981.3038083142,90.34607939258893,0.08561519845774157,25.88224522374603,False,399
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,14,R01ZF_OPTPERSON002,25,21,7551.0,8.637528283264741,78158.12725548186,89.40445434197183,0.0966118337932718,25.612489517325265,False,399
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,15,R01ZF_OPTPERSON001,23,20,7334.0,8.389303725263357,78259.22024554996,89.52009380177226,0.09371419721520968,25.645617782283953,False,380
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,15,R01ZF_OPTPERSON002,22,19,6275.0,7.177922126537711,77859.77504753847,89.06317164637052,0.08059360557063906,25.51471922693125,False,380
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,16,R01ZF_OPTPERSON001,19,15,9177.0,10.497496630316583,72208.00890894538,82.59816173079699,0.12709116535220127,23.66263031356829,False,240
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,16,R01ZF_OPTPERSON002,19,16,8118.0,9.286115031590937,72091.09763473958,82.46442786275499,0.11260752390164833,23.62431838248446,False,240
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,17,R01ZF_OPTPERSON001,21,16,7111.0,8.134215815427831,77630.97362481325,88.80144753565138,0.09160003627375743,25.439740792226143,False,2048
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,17,R01ZF_OPTPERSON002,21,16,7675.0,8.77937088783696,77534.09718833462,88.69063135765296,0.09898870662486724,25.40799429572074,False,2048
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,17,R01ZF_OPTPERSON003,9,8,4049.0,4.6316185960719025,50038.03445363513,57.23810592401655,0.08091844622217871,16.397509483844516,False,2048
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,18,R01ZF_OPTPERSON001,19,14,7999.0,9.149991886880501,71679.88184540143,81.99404142242479,0.11159337591058223,23.489562593628943,False,1344
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,18,R01ZF_OPTPERSON002,20,16,8457.0,9.673894410219825,71964.98841323204,82.32017253663238,0.11751547782428365,23.582992275688913,False,1344
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,18,R01ZF_OPTPERSON003,8,6,3748.0,4.287307112392563,50038.03445363513,57.23810592401655,0.07490302208958405,16.397509483844516,False,1344
ORACLE_OPTICAL_IDENTITY,CAUSAL_REPLAY,ORACLE_OPTICAL_IDENTITY,R01ZF,19,R01ZF_OPTPERSON001,20,14,7476.0,8.551736385337994,77115.01447212629,88.21124600282884,0.09694610123819983,25.270660507761725,False,1666
