scenario,unit_id,overlap_cluster_id,run_id,anchor_entity_id,anchor_family_id_oracle,other_entity_id,N_family_before,N_family_after,N_family_deleted,range_tolerance_m_if_combined,relation_semantics,anchor_selection,oracle_diagnostic_only
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON001,B0F_A1AE51F65624EF8B8493,R01ZF_OPTPERSON002,220,180,40,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON001,B0F_A1AE51F65624EF8B8493,R01ZF_OPTPERSON003,195,195,0,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON001,B0F_A1AE51F65624EF8B8493,R01ZF_OPTPERSON004,9,9,0,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON001,B0F_A1AE51F65624EF8B8493,R01ZF_OPTPERSON005,26,26,0,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON001,B0F_A1AE51F65624EF8B8493,R01ZF_OPTPERSON006,31,31,0,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON001,B0F_A1AE51F65624EF8B8493,R01ZF_OPTPERSON007,62,62,0,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON001,B0F_A1AE51F65624EF8B8493,R01ZF_OPTPERSON008,21,21,0,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON002,B0F_A5217860CBDB96C5C79A,R01ZF_OPTPERSON001,208,201,7,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON002,B0F_A5217860CBDB96C5C79A,R01ZF_OPTPERSON003,195,195,0,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
FULL_P0_PLUS_ORACLE_ID_PLUS_PM3M_RANGE,R01_FULL,R01_FULL_CLUSTER,R01ZF,R01ZF_OPTPERSON002,B0F_A5217860CBDB96C5C79A,R01ZF_OPTPERSON004,9,9,0,3.0,SET_VALUED_RELATIVE_ANGULAR_ORDER_WITH_INTERVAL_OVERLAP_UNDEFINED,UNIQUE_MAX_REFERENCE_RANGE_SUPPORT_ORACLE_ONLY,True
