scenario,entity_kind,run_id,frame_index,entity_id,target_id_oracle,range_tolerance_m,range_oracle_level,N_region_before,N_region_after,N_family_before,N_family_after,A_candidate_px_before,A_candidate_px_after,A_candidate_m2_before,A_candidate_m2_after,reference_range_retained,oracle_diagnostic_only
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,35,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,18,4,17,4,5591.0,1102.0,6.395500017445791,1.260568953536981,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,35,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,16,1,12,1,6486.0,552.0,7.419283332704953,0.6314283687408471,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,40,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,9,2,9,2,9967.0,1176.0,11.401171288478304,1.34521695949137,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,40,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,10,2,10,2,7769.0,1176.0,8.88689673323848,1.34521695949137,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,40,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,13,1,13,1,8290.0,639.0,9.482864450836272,0.730946970335872,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,45,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,4,15,4,7862.0,1534.0,8.993278686667644,1.7547302855950355,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,45,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,14,4,14,4,7238.0,1487.0,8.279490095917124,1.700967362894275,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,45,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,22,2,20,2,6921.0,826.0,7.916876340680078,0.9448547691665574,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,47,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,16,4,15,4,6278.0,1229.0,7.18135380245478,1.40584323402627,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,47,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,15,5,15,5,6253.0,1972.0,7.152756503145863,2.255754969487229,True,True
