case_type,selection_phase,base_edge_id,pair_index,from_frame_uid,to_frame_uid,source_region_id,destination_region_id,related_destination_region_ids_json,p0_q95_source_total_retention,zero_q95_source_total_retention,p0_minus_zero,selection_used_reference
P0_CLEARLY_BETTER_THAN_ZERO,PRE_REFERENCE,R02ZF_SARF000477__R02ZF_SARF000477__Q095__R0036__TO__R02ZF_SARF000478__Q095__R0052,5,R02ZF_SARF000477,R02ZF_SARF000478,R02ZF_SARF000477__Q095__R0036,R02ZF_SARF000478__Q095__R0052,[],0.8229166666666666,0.0,0.8229166666666666,False
P0_APPROX_EQUAL_ZERO,PRE_REFERENCE,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0002,0,R02ZF_SARF000472,R02ZF_SARF000473,R02ZF_SARF000472__Q095__R0001,R02ZF_SARF000473__Q095__R0002,[],0.0,0.0,0.0,False
ZERO_BETTER_THAN_P0,PRE_REFERENCE,R02ZF_SARF000491__R02ZF_SARF000491__Q095__R0051__TO__R02ZF_SARF000492__Q095__R0032,19,R02ZF_SARF000491,R02ZF_SARF000492,R02ZF_SARF000491__Q095__R0051,R02ZF_SARF000492__Q095__R0032,[],0.3293585526315789,1.0,-0.670641447368421,False
STRONG_Q95_CONTINUATION,PRE_REFERENCE,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0049__TO__R02ZF_SARF000473__Q095__R0005,0,R02ZF_SARF000472,R02ZF_SARF000473,R02ZF_SARF000472__Q095__R0049,R02ZF_SARF000473__Q095__R0005,[],1.0,0.8888888888888888,0.11111111111111116,False
Q95_WEAK_Q90_ENVELOPE_CONTINUES,PRE_REFERENCE,R02ZF_SARF000488__R02ZF_SARF000488__Q095__R0038__TO__R02ZF_SARF000489__Q095__R0010,16,R02ZF_SARF000488,R02ZF_SARF000489,R02ZF_SARF000488__Q095__R0038,R02ZF_SARF000489__Q095__R0010,[],0.0,0.0,0.0,False
Q975_CORE_CHANGES_Q95_CONTINUES,PRE_REFERENCE,R02ZF_SARF000493__R02ZF_SARF000493__Q095__R0031__TO__R02ZF_SARF000494__Q095__R0030,21,R02ZF_SARF000493,R02ZF_SARF000494,R02ZF_SARF000493__Q095__R0031,R02ZF_SARF000494__Q095__R0030,[],0.9751275510204082,0.7040816326530612,0.2710459183673469,False
SPLIT_LIKE,PRE_REFERENCE,R02ZF_SARF000478__R02ZF_SARF000478__Q095__R0004__TO__R02ZF_SARF000479__Q095__R0002,6,R02ZF_SARF000478,R02ZF_SARF000479,R02ZF_SARF000478__Q095__R0004,R02ZF_SARF000479__Q095__R0002,"[""R02ZF_SARF000479__Q095__R0002"", ""R02ZF_SARF000479__Q095__R0018""]",0.4336483065642458,0.41899441340782123,0.014653893156424569,False
MERGE_LIKE,PRE_REFERENCE,R02ZF_SARF000479__R02ZF_SARF000479__Q095__R0018__TO__R02ZF_SARF000480__Q095__R0002,7,R02ZF_SARF000479,R02ZF_SARF000480,R02ZF_SARF000479__Q095__R0018,R02ZF_SARF000480__Q095__R0002,"[""R02ZF_SARF000479__Q095__R0018"", ""R02ZF_SARF000479__Q095__R0002""]",0.9416179596174282,0.924548352816153,0.017069606801275228,False
BOUNDARY_OR_TRUNCATED,PRE_REFERENCE,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0043__TO__R02ZF_SARF000483__Q095__R0029,10,R02ZF_SARF000482,R02ZF_SARF000483,R02ZF_SARF000482__Q095__R0043,R02ZF_SARF000483__Q095__R0029,[],1.0,1.0,0.0,False
