run_id,frame_index,physical_region_id,nearest_region_id,offline_target_count,offline_target_ids,reference_support_states,runtime_use_allowed,grounding_semantics
R01ZF,0,TERGV1PR_1200DDBEA20D908E10AB,R01ZF_SARF000000__Q095__R0002,1,R01ZF_SARPERSON01,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,0,TERGV1PR_5A67A24D995B7A1FC2DD,R01ZF_SARF000000__Q095__R0001,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,5,TERGV1PR_47A90C59180E2AF05582,R01ZF_SARF000005__Q095__R0001,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,10,TERGV1PR_DE48447A8799F602A68C,R01ZF_SARF000010__Q095__R0001,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,15,TERGV1PR_F53D4FA8C92971D6B207,R01ZF_SARF000015__Q095__R0003,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,17,TERGV1PR_1BAB9401C5EE2D3C8DBE,R01ZF_SARF000017__Q095__R0001,1,R01ZF_SARPERSON01,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,17,TERGV1PR_6D4925565EBCB5843BBD,R01ZF_SARF000017__Q095__R0002,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,20,TERGV1PR_8657F88A1AA640E167FA,R01ZF_SARF000020__Q095__R0001,1,R01ZF_SARPERSON01,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,20,TERGV1PR_96AC248AB5CA46731899,R01ZF_SARF000020__Q095__R0002,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,25,TERGV1PR_84771B81088FC8C7ECB5,R01ZF_SARF000025__Q095__R0001,1,R01ZF_SARPERSON01,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,25,TERGV1PR_9911888CC7E8B17BA0DF,R01ZF_SARF000025__Q095__R0002,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,28,TERGV1PR_577DCBE958654EC143D2,R01ZF_SARF000028__Q095__R0001,1,R01ZF_SARPERSON01,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,28,TERGV1PR_D496609168CC4EC21315,R01ZF_SARF000028__Q095__R0003,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,30,TERGV1PR_C9B777037F520A447D98,R01ZF_SARF000030__Q095__R0001,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,30,TERGV1PR_EE34D8C246D4FA1D4DA7,R01ZF_SARF000030__Q095__R0002,1,R01ZF_SARPERSON01,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,35,TERGV1PR_0D0D9615215F782FD1EE,R01ZF_SARF000035__Q095__R0001,1,R01ZF_SARPERSON01,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,35,TERGV1PR_FD4027B4E359084CE634,R01ZF_SARF000035__Q095__R0002,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,40,TERGV1PR_AD0046C5A128DFC9965D,R01ZF_SARF000040__Q095__R0001,1,R01ZF_SARPERSON01,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
R01ZF,40,TERGV1PR_DCF6E8A2F0062F90A632,R01ZF_SARF000040__Q095__R0002,2,R01ZF_SARPERSON02;R01ZF_SARPERSON03,FULL,False,POST_REFERENCE_PHYSICAL_REGION_DIAGNOSIS_NOT_TRACK_ASSIGNMENT
