sar_relation_topology,sar_corresponding_boundary_state,N,fraction_of_unique_sar_edges
SPLIT_AND_MERGE_LIKE,SAR_COHERENT_NEGATIVE_SHIFT,24262,0.4711250922365917
SPLIT_AND_MERGE_LIKE,SAR_COHERENT_POSITIVE_SHIFT,24563,0.47696997941667635
SPLIT_AND_MERGE_LIKE,SAR_DEFORMATION_OR_INDETERMINATE,2673,0.05190492834673191
