scope,timing_condition,source_track_id,N,eta_min,eta_median,eta_p90,eta_p95,eta_max,fraction_eta_gt_1,fraction_eta_gt_0_5,fraction_old_all_pairs_determinate,fraction_boundary_coherent,fraction_boundary_deformation_or_indeterminate,median_abs_midpoint_movement_deg,median_abs_width_change_deg,median_relative_width_change_abs
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,NOMINAL,R02ZF_REUSED_R02ZF_PERSON017,13,0.26982539147475,0.3449007096278372,0.3686880029393048,0.39693167901072124,0.43678803374227526,0.0,0.0,0.0,1.0,0.0,0.8930126225588175,0.014855231559231186,0.005525441319507824
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,NOMINAL,R02ZF_REUSED_R02ZF_PERSON018,13,0.258298315385433,0.32851907996053675,0.37174513858965147,0.39956909124645434,0.4352288807554486,0.0,0.0,0.0,1.0,0.0,0.8741695486378571,0.07198216176175265,0.02663650576813814
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,NOMINAL,R02ZF_REUSED_R02ZF_PERSON021,7,0.23123993045223323,0.27827210107058564,0.29364154763415057,0.3011396741819538,0.30863780072975716,0.0,0.0,0.0,1.0,0.0,1.9186192743128565,0.16633546408380084,0.025499023377459212
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,NOMINAL,R02ZF_REUSED_R02ZF_PERSON023,1,0.618940452795387,0.618940452795387,0.618940452795387,0.618940452795387,0.618940452795387,0.0,1.0,0.0,1.0,0.0,1.851368072508599,0.0902546865593834,0.030173511899380036
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,NOMINAL,R02ZF_REUSED_R02ZF_PERSON024,3,0.2439474065088885,0.26743030652570826,0.2706686391093455,0.27107343068230016,0.2714782222552548,0.0,0.0,0.0,1.0,0.0,1.7501996631531291,0.6627469716536751,0.10126766077592403
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON017,13,0.26982539147475,0.3436194921445477,0.3686880029393048,0.39693167901072124,0.43678803374227526,0.0,0.0,0.0,1.0,0.0,0.9008084657996811,0.014855231559231186,0.005525441319507824
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON018,13,0.258298315385433,0.32851907996053675,0.37174513858965147,0.39956909124645434,0.4352288807554486,0.0,0.0,0.0,1.0,0.0,0.8845678038499933,0.062203993456389384,0.024449048809446747
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON021,6,0.23123993045223323,0.27699321135130706,0.2810220641539112,0.282333054862162,0.2836440455704128,0.0,0.0,0.0,1.0,0.0,1.911929384955629,0.28299521285088325,0.04135936611504849
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON023,1,0.618940452795387,0.618940452795387,0.618940452795387,0.618940452795387,0.618940452795387,0.0,1.0,0.0,1.0,0.0,1.851368072508599,0.0902546865593834,0.030173511899380036
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON024,2,0.2439474065088885,0.2556888565172984,0.2650820165240263,0.26625616152486725,0.26743030652570826,0.0,0.0,0.0,1.0,0.0,1.5505816625719717,1.0065775568482636,0.17255737772245705
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON017,13,0.26982539147475,0.3472756928341899,0.3686880029393048,0.39693167901072124,0.43678803374227526,0.0,0.0,0.0,1.0,0.0,0.8890052499028744,0.01321712796566743,0.005290159137901916
DEDUPLICATED_OPTICAL_PAIR_SIGNATURES,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON018,13,0.258298315385433,0.3314732441034669,0.37174513858965147,0.39956909124645434,0.4352288807554486,0.0,0.0,0.0,1.0,0.0,0.863871386194937,0.062203993456389384,0.024449048809446747
