scenario,run_id,frame_index,entity_id,region_id,family_id,family_semantics
FULL_P0_FIXED_LAG_100MS,R01ZF,6,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000006__Q095__R0040,B0F_9E909B9F694441A1E288,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0001,B0F_A913B28F3DEF45EA2998,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0002,B0F_10F2680DD94538113A00,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0003,B0F_CAFADC563A3E4AC55D4F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0006,B0F_66F533FE879559D3A604,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0008,B0F_55B5AA7981D6A342B535,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0011,B0F_55B5AA7981D6A342B535,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0016,B0F_9A64999FDD6FC795ED0F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0017,B0F_B0C55C473B903108EB9C,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0019,B0F_DCFC23D3B0345E13E236,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0021,B0F_48B8A001F73BCAEF3EE6,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0029,B0F_52B4EAD3AD5F8272F6A7,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0030,B0F_A344BA586482AB8FA1CF,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0034,B0F_DF849464A1BD8A04E87F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0043,B0F_BCC6212C770313005848,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000007__Q095__R0046,B0F_D0AB80FECDF2A0837C99,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,8,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000008__Q095__R0001,B0F_A913B28F3DEF45EA2998,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,8,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000008__Q095__R0002,B0F_10F2680DD94538113A00,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
