seed_frame,direction,checkpoint_frame,object_type,available,common_theta_node_count,theta_min_deg,theta_max_deg,center_abs_disagreement_m,node_median_abs_disagreement_m,node_max_abs_disagreement_m,translation_removed_shape_rms_m,translation_removed_shape_max_m,frozen_0p12_center_and_shape_pass
150,BACKWARD,82,SAR_BOUNDARY_NEAR,True,17,-24.0,8.0,0.002935371254007002,0.014858307239947521,0.049300863733384936,0.023859498457325545,0.046365492479377934,True
150,BACKWARD,82,SAR_BOUNDARY_FAR,True,17,-24.0,8.0,0.08353973917231361,0.08538173917231351,0.17938636674762698,0.03910228790149146,0.09584662757531337,True
183,FORWARD,239,SAR_BOUNDARY_NEAR,True,21,-22.0,18.0,0.017626649196953892,0.017626649196953892,0.027072649196953513,0.007994326543461187,0.019026271799585714,True
183,FORWARD,239,SAR_BOUNDARY_FAR,True,21,-22.0,18.0,0.04972991510286118,0.04650773463945512,0.07456338369135995,0.010999109481459822,0.024833468588498775,True
264,BACKWARD,183,SAR_BOUNDARY_NEAR,True,22,-22.0,20.0,0.009460193004819928,0.019913305490310673,0.05786848870251049,0.0271102168355457,0.06732868170733042,True
264,BACKWARD,183,SAR_BOUNDARY_FAR,True,24,-22.0,24.0,0.12818156384535673,0.1279919546898154,0.13966113074637576,0.01823786822354199,0.04291286267477812,False
264,BACKWARD,239,SAR_BOUNDARY_NEAR,True,22,-22.0,20.0,0.019178149196953598,0.01586464919695363,0.06653537739736759,0.019508853975354366,0.04735722820041399,True
264,BACKWARD,239,SAR_BOUNDARY_FAR,True,26,-22.0,28.0,0.15086492918103644,0.14309648571886102,0.1839393836913592,0.030133378696645906,0.07209079632823201,False
454,BACKWARD,427,SAR_BOUNDARY_NEAR,True,26,-26.0,24.0,0.005157358963407965,0.020867554200333593,0.050136220649809715,0.024596742950340922,0.04497886168640175,True
454,BACKWARD,427,SAR_BOUNDARY_FAR,True,26,-26.0,24.0,0.18305317095794482,0.18305317095794482,0.29126719207484886,0.07347089613023923,0.1372118661453925,False
454,FORWARD,472,SAR_BOUNDARY_NEAR,True,26,-26.0,24.0,0.07358491537890366,0.07615958120137067,0.0954228024188124,0.015291896430962328,0.028541880540537967,True
454,FORWARD,472,SAR_BOUNDARY_FAR,True,26,-26.0,24.0,0.13087035091857757,0.1132267354277059,0.19092310607836716,0.02603352265507418,0.060052755159789584,True
