evidence_family,descriptor_a,descriptor_b,shared_primitive,relationship,independent_evidence_claim_allowed,spearman_rho,population_row_count
SAR_TEMPORAL_TRANSPORT,q95_source_total_retention,q95_destination_explained_fraction,warped_source_intersection_destination,SAME_NUMERATOR_DIFFERENT_DENOMINATOR,False,,
SAR_TEMPORAL_TRANSPORT,q95_source_total_retention,q95_soft_iou,warped_source_intersection_destination,SAME_INTERSECTION_IN_NUMERATOR_AND_UNION,False,,
SAR_RESPONSE_MORPHOLOGY,q90_envelope,q95_region_and_q97p5_core,same_frozen_S_x_percentile_superlevel_family,NESTED_RELATIVE_PERCENTILE_LAYERS,False,,
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q95_conditional_valid_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,1.0,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q95_destination_explained_fraction,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,-0.20223424504614684,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q95_soft_iou,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.5028427077791865,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q975_to_q975_core_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.9048067769005768,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q90_weak_envelope_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.5985891278527518,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_conditional_valid_retention,q95_destination_explained_fraction,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,-0.20223424504614684,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_conditional_valid_retention,q95_soft_iou,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.5028427077791865,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_conditional_valid_retention,q975_to_q975_core_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.9048067769005768,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_conditional_valid_retention,q90_weak_envelope_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.5985891278527518,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_destination_explained_fraction,q95_soft_iou,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.5232686451079279,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_destination_explained_fraction,q975_to_q975_core_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,-0.2515154051974787,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_destination_explained_fraction,q90_weak_envelope_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,-0.1250159837029152,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_soft_iou,q975_to_q975_core_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.5984355192795361,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_soft_iou,q90_weak_envelope_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.35503987151229194,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q975_to_q975_core_retention,q90_weak_envelope_retention,ALL_POSITIVE_INTERSECTION_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.5388069133773211,869.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q95_conditional_valid_retention,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,1.0,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q95_destination_explained_fraction,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,-0.6,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q95_soft_iou,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.7714285714285715,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q975_to_q975_core_retention,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.8285714285714286,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_source_total_retention,q90_weak_envelope_retention,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.6571428571428571,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_conditional_valid_retention,q95_destination_explained_fraction,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,-0.6,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_conditional_valid_retention,q95_soft_iou,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.7714285714285715,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_conditional_valid_retention,q975_to_q975_core_retention,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.8285714285714286,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_conditional_valid_retention,q90_weak_envelope_retention,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,0.6571428571428571,6.0
EMPIRICAL_DESCRIPTOR_DEPENDENCE,q95_destination_explained_fraction,q95_soft_iou,SUPPORTED_P0_EDGES,SPEARMAN_DESCRIPTION_NOT_INDEPENDENCE_TEST,False,-0.37142857142857144,6.0
