analysis,dropped_frame_pair,remaining_frame_pair_clusters,remaining_supported_edges,p0_retention_median,zero_retention_median,delta_p0_median,p0_better_fraction,matched_raw_comparison_count,matched_raw_supported_win_fraction,matched_supported_edge_cluster_count,matched_per_edge_win_fraction_median,matched_background_control_delta_median,inference
FULL,NONE,3,6,0.9093242812814,0.8417744910188235,0.05502556206211878,0.8333333333333334,30,0.9666666666666667,6,1.0,0.022302402218510486,DESCRIPTIVE_INSUFFICIENT_INDEPENDENT_FRAME_PAIR_CLUSTERS
LEAVE_ONE_FRAME_PAIR_OUT,F472_TO_F473,2,4,0.9093242812814,0.8417744910188235,0.05502556206211878,1.0,20,1.0,4,1.0,0.028639901541457624,DESCRIPTIVE_INSUFFICIENT_INDEPENDENT_FRAME_PAIR_CLUSTERS
LEAVE_ONE_FRAME_PAIR_OUT,F482_TO_F483,2,4,0.8225968546716408,0.7732300026151055,0.04936685205653529,0.75,20,0.95,4,1.0,0.018169443608981872,DESCRIPTIVE_INSUFFICIENT_INDEPENDENT_FRAME_PAIR_CLUSTERS
LEAVE_ONE_FRAME_PAIR_OUT,F487_TO_F488,2,4,0.9267060994764866,0.8417744910188235,0.07092148916487456,0.75,20,0.95,4,1.0,0.022302402218510486,DESCRIPTIVE_INSUFFICIENT_INDEPENDENT_FRAME_PAIR_CLUSTERS
