evidence_family,row_count,frame_pair_cluster_count,source_region_cluster_count,base_edge_cluster_count,p0_retention_median,zero_retention_median,delta_p0_median,delta_p0_mean,p0_better_fraction,p0_rank_percentile_median,interpretation
REFERENCE_SUPPORTED_EDGES,6,3,6,6,0.9093242812814,0.8417744910188235,0.05502556206211878,0.05930717551338069,0.8333333333333334,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE
REFERENCE_UNSUPPORTED_MATCHED_ALTERNATIVES,30,3,6,30,0.0,0.0,0.0,-0.0003315258116690404,0.03333333333333333,0.6084311169056932,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,1036,22,1036,1036,0.6437700631081458,0.5879155055732483,0.0,0.026692195886137842,0.46042471042471045,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE
SUPPORTED_MATCHED_REFERENCE_FREE_CONTROLS,30,3,19,19,0.8593592796310541,0.846232426660826,0.022302402218510486,0.028821805579656752,0.9666666666666667,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE
