evidence_family,row_count,frame_pair_cluster_count,source_region_cluster_count,base_edge_cluster_count,p0_retention_median,zero_retention_median,delta_p0_median,delta_p0_mean,p0_better_fraction,p0_rank_percentile_median,interpretation,from_frame,to_frame
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,43,1,43,43,0.4999774639423077,0.4629156010230179,0.0,0.012702141818495901,0.3953488372093023,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,476,477
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,38,1,38,38,0.6668746981405458,0.6633234578151832,0.0,0.030720938583589385,0.4473684210526316,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,477,478
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,54,1,54,54,0.4911073626893939,0.48234767025089603,0.0,0.018147174563749466,0.3888888888888889,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,478,479
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,54,1,54,54,0.4321757080129556,0.4604973591549295,0.0,0.0067232883258023365,0.35185185185185186,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,479,480
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,42,1,42,42,0.7005875050308644,0.668604871755957,0.0,0.015764556847307272,0.42857142857142855,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,480,481
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,39,1,39,39,0.7240294685273159,0.6941431670281996,0.0007637219551279717,0.026466256057042416,0.5128205128205128,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,481,482
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,41,1,41,41,0.8486711090686274,0.7936962750716332,0.0018573835784313486,0.027536239473273962,0.5365853658536586,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,482,483
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,48,1,48,48,0.6306339819951579,0.6401137980085349,0.0,0.024382813100308365,0.4791666666666667,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,483,484
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,46,1,46,46,0.6701350732600733,0.5782407407407408,0.0,0.023072522555535862,0.45652173913043476,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,484,485
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,41,1,41,41,0.7891447368421053,0.7866666666666666,0.0,0.026747467383962355,0.4878048780487805,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,485,486
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,42,1,42,42,0.7082328650638338,0.7179128147360339,0.01293066975051832,0.035548860447232725,0.5476190476190477,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,486,487
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,47,1,47,47,0.7399801587301588,0.6715575620767494,0.0,0.009596047013825534,0.3404255319148936,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,487,488
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,38,1,38,38,0.743069674799351,0.6709030100334448,0.0,0.012232029626074316,0.42105263157894735,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,488,489
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,44,1,44,44,0.6808930652680653,0.5990430622009569,0.0011237260915765157,0.0232786383285186,0.5,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,489,490
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,49,1,49,49,0.703125,0.6,0.0,0.04640083933836821,0.4489795918367347,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,490,491
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,59,1,59,59,0.3879894578313253,0.3425925925925926,0.0,0.019939017980224447,0.4576271186440678,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,491,492
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,53,1,53,53,0.6931818181818182,0.6368653421633554,0.013169642857142796,0.03264640943144799,0.6037735849056604,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,492,493
REFERENCE_FREE_STRUCTURAL_HIGH_RESPONSE_CONTROLS,54,1,54,54,0.5191436941964286,0.41622338568935424,0.012037003221609333,0.04557219111739584,0.5370370370370371,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,493,494
SUPPORTED_MATCHED_REFERENCE_FREE_CONTROLS,10,1,7,7,0.8706694637964842,0.846232426660826,0.018169443608981872,0.036269574469277775,1.0,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,472,473
SUPPORTED_MATCHED_REFERENCE_FREE_CONTROLS,10,1,6,6,0.8285214565229501,0.8065237458619812,0.028639901541457624,0.02731138493774644,1.0,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,482,483
SUPPORTED_MATCHED_REFERENCE_FREE_CONTROLS,10,1,6,6,0.8291711980646307,0.810245028409091,0.021736654797874677,0.02288445733194604,0.9,1.0,DESCRIPTIVE_EVIDENCE_NOT_INDEPENDENT_ROW_LEVEL_INFERENCE,487,488
