segment_id,run_id,start_sar_frame,end_sar_frame,frame_count,track_ids,track_count,segment_kind,selection_reason,manual_reference_used_for_selection,confirmation_run_accessed
TERGS_2A1E38ABAA50E3792676,R01ZF,107,114,8,R01ZF_REUSED_R01ZF_PERSON003,1,SAR_BOUNDARY_CENSOR_CONTEXT,GT_BLIND_Q95_BOUNDARY_OR_TRUNCATED_SUPPORT_CONTEXT,False,False
TERGS_5CE262A17741C5FC8BFB,R02ZF,469,476,8,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,2,SAR_SPLIT_LIKE_CONTEXT,GT_BLIND_HIGH_COUNT_EXISTING_P0_TOPOLOGY_CONTEXT,False,False
TERGS_DA539F692DB3CF52F38F,R02ZF,470,477,8,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,2,SAR_MERGE_LIKE_CONTEXT,GT_BLIND_HIGH_COUNT_EXISTING_P0_TOPOLOGY_CONTEXT,False,False
TERGS_A6E046163A60B75E621B,R02ZF,472,480,9,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,2,ACTIVE_FRAGMENT_SET_PLATEAU,GT_BLIND_STABLE_RUNTIME_VISIBLE_ACTIVE_FRAGMENT_SET,False,False
TERGS_D9A02C06CA67BAF86AAE,R02ZF,472,494,23,R02ZF_REUSED_R02ZF_PERSON017,1,CONTINUOUS_FRAGMENT_LIFECYCLE,GT_BLIND_CONTINUOUS_RUNTIME_VISIBLE_SHELL_PRESENCE,False,False
TERGS_190792243168018C6692,R02ZF,472,494,23,R02ZF_REUSED_R02ZF_PERSON018,1,CONTINUOUS_FRAGMENT_LIFECYCLE,GT_BLIND_CONTINUOUS_RUNTIME_VISIBLE_SHELL_PRESENCE,False,False
TERGS_6436F78EE3B62E359C28,R02ZF,472,494,23,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018,2,RELATIVE_ORDER_STATE_PLATEAU,GT_BLIND_OPTICAL_INTERVAL_ORDER_STATE::A_LEFT_OF_B,False,False
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,480,487,8,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON023,4,SAR_MERGE_LIKE_CONTEXT,GT_BLIND_HIGH_COUNT_EXISTING_P0_TOPOLOGY_CONTEXT,False,False
TERGS_E7F91D8684FAAF6A9219,R02ZF,481,485,5,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021,3,ACTIVE_FRAGMENT_SET_PLATEAU,GT_BLIND_STABLE_RUNTIME_VISIBLE_ACTIVE_FRAGMENT_SET,False,False
TERGS_60EB5053F2693E18D58B,R02ZF,481,488,8,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON023;R02ZF_REUSED_R02ZF_PERSON024,5,SAR_SPLIT_LIKE_CONTEXT,GT_BLIND_HIGH_COUNT_EXISTING_P0_TOPOLOGY_CONTEXT,False,False
TERGS_409886F81D9E45334F4F,R02ZF,481,494,14,R02ZF_REUSED_R02ZF_PERSON021,1,CONTINUOUS_FRAGMENT_LIFECYCLE,GT_BLIND_CONTINUOUS_RUNTIME_VISIBLE_SHELL_PRESENCE,False,False
TERGS_6C426359C612628C7A31,R02ZF,481,494,14,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021,2,RELATIVE_ORDER_STATE_PLATEAU,GT_BLIND_OPTICAL_INTERVAL_ORDER_STATE::A_RIGHT_OF_B,False,False
TERGS_38238A43231066968F66,R02ZF,481,494,14,R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021,2,RELATIVE_ORDER_STATE_PLATEAU,GT_BLIND_OPTICAL_INTERVAL_ORDER_STATE::A_RIGHT_OF_B,False,False
TERGS_406E06BEE8B19831E091,R02ZF,487,494,8,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON023;R02ZF_REUSED_R02ZF_PERSON024,5,SAR_SPLIT_LIKE_CONTEXT,GT_BLIND_HIGH_COUNT_EXISTING_P0_TOPOLOGY_CONTEXT,False,False
TERGS_4B565EEA0C6931299151,R02ZF,488,494,7,R02ZF_REUSED_R02ZF_PERSON024,1,CONTINUOUS_FRAGMENT_LIFECYCLE,GT_BLIND_CONTINUOUS_RUNTIME_VISIBLE_SHELL_PRESENCE,False,False
TERGS_8D6DB9A2F108568B32AA,R02ZF,488,494,7,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024,2,RELATIVE_ORDER_STATE_PLATEAU,GT_BLIND_OPTICAL_INTERVAL_ORDER_STATE::A_RIGHT_OF_B,False,False
TERGS_A923293CFBC550AE18D7,R02ZF,488,494,7,R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024,2,RELATIVE_ORDER_STATE_PLATEAU,GT_BLIND_OPTICAL_INTERVAL_ORDER_STATE::A_RIGHT_OF_B,False,False
TERGS_F66D1A1E88076E254C22,R02ZF,488,494,7,R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,2,RELATIVE_ORDER_STATE_PLATEAU,GT_BLIND_OPTICAL_INTERVAL_ORDER_STATE::A_RIGHT_OF_B,False,False
TERGS_48FABD798C7CE3742190,R02ZF,488,495,8,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON023;R02ZF_REUSED_R02ZF_PERSON024,5,SAR_MERGE_LIKE_CONTEXT,GT_BLIND_HIGH_COUNT_EXISTING_P0_TOPOLOGY_CONTEXT,False,False
TERGS_1BB7B9183580C17A201F,R02ZF,490,494,5,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,4,ACTIVE_FRAGMENT_SET_PLATEAU,GT_BLIND_STABLE_RUNTIME_VISIBLE_ACTIVE_FRAGMENT_SET,False,False
TERGS_CAAB4EA22C44536DF2CC,R02ZF,490,497,8,R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021;R02ZF_REUSED_R02ZF_PERSON024,4,SAR_BOUNDARY_CENSOR_CONTEXT,GT_BLIND_Q95_BOUNDARY_OR_TRUNCATED_SUPPORT_CONTEXT,False,False
TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,458,494,37,R03ZF_I01_T0004,1,ACTIVE_FRAGMENT_SET_PLATEAU,GT_BLIND_STABLE_RUNTIME_VISIBLE_ACTIVE_FRAGMENT_SET,False,False
TERGS_6EA858FDC375FA946246,R03ZF,458,494,37,R03ZF_I01_T0004,1,CONTINUOUS_FRAGMENT_LIFECYCLE,GT_BLIND_CONTINUOUS_RUNTIME_VISIBLE_SHELL_PRESENCE,False,False
