modality,event_type,instance_count,segment_count,run_count,vocabulary_disposition,threshold_fitted_to_outcome,reference_used
OPTICAL,OBSERVATION_BIRTH_HYPOTHESIS,37,28,3,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
OPTICAL,OBSERVATION_DEATH_HYPOTHESIS,44,24,3,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
OPTICAL,OBSERVATION_PRESENCE_INTERVAL,88,38,3,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
OPTICAL,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,11,9,1,UNCERTAINTY_OR_CENSORING_STATE,False,False
OPTICAL,PAIR_GAP_APPROACH_TENDENCY_DESCRIPTOR,53,23,2,DESCRIPTOR_NOT_HARD_EVENT,False,False
OPTICAL,PAIR_GAP_SEPARATION_TENDENCY_DESCRIPTOR,9,7,2,DESCRIPTOR_NOT_HARD_EVENT,False,False
OPTICAL,PAIR_GAP_STABLE_DESCRIPTOR,23,13,2,DESCRIPTOR_NOT_HARD_EVENT,False,False
OPTICAL,RELATIVE_ORDER_OVERLAP_UNCERTAINTY,16,13,2,UNCERTAINTY_OR_CENSORING_STATE,False,False
OPTICAL,RELATIVE_ORDER_STABLE,69,25,2,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
SAR,SAR_BOUNDARY_CENSORING_STATE,3,3,1,UNCERTAINTY_OR_CENSORING_STATE,False,False
SAR,SAR_DEFORMATION_HYPOTHESIS,1616,38,3,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
SAR,SAR_MERGE_LIKE_HYPOTHESIS,294,35,2,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
SAR,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,2786,38,3,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
SAR,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,2741,38,3,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
SAR,SAR_RESPONSE_PERSISTENCE,1797,38,3,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
SAR,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,1617,38,3,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
SAR,SAR_SPLIT_LIKE_HYPOTHESIS,265,34,2,REPEATED_PROVISIONAL_EVENT_PRIMITIVE,False,False
