order_profile_id,segment_id,run_id,track_a,track_b,component_a_count,component_b_count,component_pair_space_size,optical_order_state,sar_order_state,relative_order_compatibility,common_frame_count,shared_response_observed,shared_region_frame_count,order_representation,weighted_score_used,manual_reference_used
TERGOP_8E0D94B62305675DA5AC,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,28,29,812,ORDER_OVERLAP_OR_UNCERTAIN,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_C848B98F5103131ECADE,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,28,13,364,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,7,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_80125FFAF8F65436A1DC,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,29,13,377,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,7,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_F1E7B8BD08B6B698C326,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,30,33,990,ORDER_OVERLAP_OR_UNCERTAIN,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_0CFEEE44038B08B33769,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,30,15,450,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,4,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_19EF744EFC8717F6F813,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,33,15,495,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,4,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_EDCC6D1C572F4032018F,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,29,30,870,ORDER_OVERLAP_OR_UNCERTAIN,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_63C58ED3472CE7C59E07,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,29,17,493,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,3,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_B64D98653BFC04C6ED9A,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,30,17,510,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,3,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_A75EB123ED4EA1E538A7,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,33,24,792,ORDER_OVERLAP_OR_UNCERTAIN,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
