segment_id,run_id,track_id,static_corridor_node_count,plausible_explanation_component_count,multi_frame_component_count,isolated_component_count,temporally_supported_node_count,potential_disambiguation_gt_blind,explanation_is_set_valued,unique_component_selected,manual_reference_used
TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,42,11,8,3,39,True,True,False,False
TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,17,9,2,7,10,True,True,False,False
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,69,19,12,7,62,True,True,False,False
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,73,16,13,3,70,True,True,False,False
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,34,17,4,13,21,True,True,False,False
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,10,6,2,4,6,True,True,False,False
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,4,4,0,4,0,False,True,False,False
TERGS_409886F81D9E45334F4F,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,89,31,11,20,69,True,True,False,False
TERGS_6C426359C612628C7A31,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,142,32,18,14,128,True,True,False,False
TERGS_6C426359C612628C7A31,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,89,31,11,20,69,True,True,False,False
TERGS_38238A43231066968F66,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,136,27,16,11,125,True,True,False,False
TERGS_38238A43231066968F66,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,89,31,11,20,69,True,True,False,False
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,92,23,14,9,83,True,True,False,False
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,84,22,13,9,75,True,True,False,False
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,69,24,10,14,55,True,True,False,False
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,11,6,2,4,7,True,True,False,False
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,11,6,5,29,True,True,False,False
TERGS_4B565EEA0C6931299151,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,11,6,5,29,True,True,False,False
TERGS_8D6DB9A2F108568B32AA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,84,24,14,10,74,True,True,False,False
TERGS_8D6DB9A2F108568B32AA,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,11,6,5,29,True,True,False,False
TERGS_A923293CFBC550AE18D7,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,74,22,10,12,62,True,True,False,False
TERGS_A923293CFBC550AE18D7,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,11,6,5,29,True,True,False,False
TERGS_F66D1A1E88076E254C22,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,62,21,10,11,51,True,True,False,False
TERGS_F66D1A1E88076E254C22,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,11,6,5,29,True,True,False,False
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,84,24,14,10,74,True,True,False,False
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,74,22,10,12,62,True,True,False,False
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,62,21,10,11,51,True,True,False,False
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,7,4,2,2,5,True,True,False,False
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,11,6,5,29,True,True,False,False
TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,65,19,12,7,58,True,True,False,False
TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,56,18,10,8,48,True,True,False,False
TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,49,17,9,8,41,True,True,False,False
TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,27,9,6,3,24,True,True,False,False
TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,65,19,12,7,58,True,True,False,False
TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,56,18,10,8,48,True,True,False,False
TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,49,17,9,8,41,True,True,False,False
TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,27,9,6,3,24,True,True,False,False
TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,R03ZF_I01_T0004,151,62,15,47,104,True,True,False,False
TERGS_6EA858FDC375FA946246,R03ZF,R03ZF_I01_T0004,151,62,15,47,104,True,True,False,False
