segment_id,run_id,track_id,static_corridor_node_count,plausible_explanation_component_count,multi_frame_component_count,isolated_component_count,temporally_supported_node_count,potential_disambiguation_gt_blind,explanation_is_set_valued,unique_component_selected,manual_reference_used
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,217,46,27,19,198,True,True,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,237,47,30,17,220,True,True,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,1165,171,84,87,1078,True,True,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,1140,165,83,82,1058,True,True,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,1165,171,84,87,1078,True,True,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,1161,166,83,83,1078,True,True,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,923,136,68,68,855,True,True,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,928,140,67,73,855,True,True,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,938,117,66,51,887,True,True,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,928,140,67,73,855,True,True,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,938,117,66,51,887,True,True,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,944,137,68,69,875,True,True,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,998,126,70,56,942,True,True,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,1310,148,83,65,1245,True,True,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,129,26,16,10,119,True,True,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,131,27,16,11,120,True,True,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,73,14,9,5,68,True,True,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,129,28,16,12,117,True,True,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,131,29,16,13,118,True,True,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,74,13,11,2,72,True,True,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,124,30,18,12,112,True,True,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,131,33,20,13,118,True,True,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,83,15,12,3,80,True,True,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,123,29,19,10,113,True,True,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,128,30,20,10,118,True,True,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,84,17,11,6,78,True,True,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,94,33,16,17,77,True,True,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,91,24,14,10,81,True,True,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,109,26,19,7,102,True,True,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,100,26,17,9,91,True,True,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,109,24,17,7,102,True,True,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,95,23,12,11,84,True,True,False,False
TERGS_333C24F63385DAFD9021,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,312,34,23,11,301,True,True,False,False
TERGS_2A1E38ABAA50E3792676,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,89,21,18,3,86,True,True,False,False
TERGS_5CE262A17741C5FC8BFB,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,29,10,7,3,26,True,True,False,False
TERGS_5CE262A17741C5FC8BFB,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,28,10,6,4,24,True,True,False,False
TERGS_DA539F692DB3CF52F38F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,33,10,7,3,30,True,True,False,False
TERGS_DA539F692DB3CF52F38F,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,34,11,6,5,29,True,True,False,False
TERGS_A6E046163A60B75E621B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,53,19,10,9,44,True,True,False,False
TERGS_A6E046163A60B75E621B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,54,17,9,8,46,True,True,False,False
TERGS_D9A02C06CA67BAF86AAE,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,195,48,25,23,172,True,True,False,False
TERGS_190792243168018C6692,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,190,40,21,19,171,True,True,False,False
TERGS_6436F78EE3B62E359C28,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,195,48,25,23,172,True,True,False,False
TERGS_6436F78EE3B62E359C28,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,190,40,21,19,171,True,True,False,False
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,65,20,11,9,56,True,True,False,False
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,69,17,12,5,64,True,True,False,False
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,27,14,4,10,17,True,True,False,False
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,6,4,2,2,4,True,True,False,False
TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,41,14,8,6,35,True,True,False,False
