run_id,frame_index,track_a,track_b,optical_order_relation,interval_gap_deg,reference_used
R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,2,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,3,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,4,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,5,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,6,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,7,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,8,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,9,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,10,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,11,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,12,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,13,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,14,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,15,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,16,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,16,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.137045550703217,False
R01ZF,16,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.656300751935614,False
R01ZF,17,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,17,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.137045550703217,False
R01ZF,17,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.656300751935614,False
R01ZF,18,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,18,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.541608719890615,False
R01ZF,18,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,27.031018373449534,False
R01ZF,19,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,19,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.541608719890615,False
R01ZF,19,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,27.031018373449534,False
R01ZF,20,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,20,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.589995435650255,False
R01ZF,20,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.9911183851574,False
R01ZF,21,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,21,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.7049133261254,False
R01ZF,21,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.912757954154138,False
R01ZF,22,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,22,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.7049133261254,False
R01ZF,22,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.912757954154138,False
R01ZF,23,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,23,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.73252021359275,False
R01ZF,23,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.91385897460337,False
R01ZF,24,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,24,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.73252021359275,False
R01ZF,24,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.91385897460337,False
R01ZF,25,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,25,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.771790756712477,False
R01ZF,25,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.89725659529318,False
R01ZF,26,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,26,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.62353709188458,False
R01ZF,26,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.595367855259944,False
R01ZF,27,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,27,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.62353709188458,False
R01ZF,27,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.595367855259944,False
R01ZF,28,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,28,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.545220604047305,False
R01ZF,28,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.423790947933934,False
R01ZF,29,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,29,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.545220604047305,False
R01ZF,29,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.423790947933934,False
R01ZF,30,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,30,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.625683796944084,False
R01ZF,30,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.407354576140595,False
R01ZF,31,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,31,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.70425255110434,False
R01ZF,31,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.35891455894398,False
R01ZF,32,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,ORDER_OVERLAP_OR_UNCERTAIN,0.0,False
R01ZF,32,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,21.70425255110434,False
R01ZF,32,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,A_RIGHT_OF_B,26.35891455894398,False
