explanation_component_id,segment_id,run_id,track_id,segment_start_sar_frame,segment_end_sar_frame,segment_frame_count,component_start_sar_frame,component_end_sar_frame,component_frame_count,component_node_count,component_supported_edge_count,component_transition_count,component_frame_coverage_fraction,contains_split_like,contains_merge_like,contains_deformation,contains_boundary_censoring,unique_path_claimed,identity_claimed,manual_reference_used
TERGXC_1A22772596802EBA0D1C,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,5,5,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_F753396437896B1745A9,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,6,15,10,10,9,9,0.625,False,False,True,False,False,False,False
TERGXC_C6D3E44571DC7C60BE4F,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,6,6,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_7B72E60C94E71E8F418F,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,7,15,9,9,8,8,0.5625,False,False,True,False,False,False,False
TERGXC_3D682824669802DF7877,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,8,10,3,3,2,2,0.1875,False,False,True,False,False,False,False
TERGXC_2E594D296D7BF365431D,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,8,8,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_C9D6D18EDC6A9B77BC0F,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,8,8,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_0BF49AAF19C29EE56201,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,8,8,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_525F481762874A17DB37,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,9,9,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_5F4C10E9F1506E70E510,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,9,9,1,1,0,0,0.0625,False,False,False,False,False,False,False
