sar_event_id,segment_id,run_id,explanation_component_id,track_id,event_type,support_start_sar_frame,support_end_sar_frame,event_uncertainty_state,observable_evidence,event_is_person_event,event_is_hard_label,manual_reference_used
TERGSE_0E099DF05C385C8113AB,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_B917FFF0C583AEC62B8F,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,10,15,GRAPH_COMPONENT_HYPOTHESIS,6 q95 nodes and 5 P0-supported edges,False,False,False
TERGSE_C2775FCE8D1BA57AB8BA,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_B917FFF0C583AEC62B8F,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,10,10,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_ACCA26EBBC5E673E6C6C,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_B917FFF0C583AEC62B8F,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,11,15,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
TERGSE_3F22E6CD51857529E847,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_B094CC0852DFFDC4BE81,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,10,15,GRAPH_COMPONENT_HYPOTHESIS,6 q95 nodes and 5 P0-supported edges,False,False,False
TERGSE_4F5F1D48291ADC12A3D9,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_B094CC0852DFFDC4BE81,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,10,10,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_089F8C183ABCD6398D4D,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_B094CC0852DFFDC4BE81,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,11,14,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
TERGSE_AAC033453197038B9333,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_DB048BB626A610AD80EA,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,10,15,GRAPH_COMPONENT_HYPOTHESIS,6 q95 nodes and 5 P0-supported edges,False,False,False
TERGSE_275E4A9A50A8BE12740F,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_DB048BB626A610AD80EA,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,10,10,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_0660E4CF1B585784D57B,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_DB048BB626A610AD80EA,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,10,14,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
TERGSE_D0A3FED8196891BA663B,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_63E798F5514E178F4325,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,11,15,GRAPH_COMPONENT_HYPOTHESIS,5 q95 nodes and 4 P0-supported edges,False,False,False
TERGSE_79E749CE20BFF12F7271,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_63E798F5514E178F4325,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,11,11,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_F0D781033FCB4127E370,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_63E798F5514E178F4325,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,12,15,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
TERGSE_BCB89B1827496632A79D,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_CFB8805E4FAD8347EFEF,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,11,14,GRAPH_COMPONENT_HYPOTHESIS,4 q95 nodes and 3 P0-supported edges,False,False,False
TERGSE_115C36D0F75D8B57491D,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_CFB8805E4FAD8347EFEF,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,11,11,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_83F8AC6F03A160F8E56F,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_CFB8805E4FAD8347EFEF,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,14,14,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_D2BC26556D23816E116C,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_CFB8805E4FAD8347EFEF,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,11,14,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
TERGSE_5F93D0F133AE492D0968,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C7670AEEE7FA0F803F6A,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,11,15,GRAPH_COMPONENT_HYPOTHESIS,7 q95 nodes and 7 P0-supported edges,False,False,False
TERGSE_E71B92F9522CFA5B4D33,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C7670AEEE7FA0F803F6A,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,11,11,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_4EA962D5885A5913DDDC,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C7670AEEE7FA0F803F6A,R01ZF_REUSED_R01ZF_PERSON001,SAR_SPLIT_LIKE_HYPOTHESIS,13,14,STRUCTURAL_HYPOTHESIS,existing frozen sar_topology_state contains SPLIT,False,False,False
TERGSE_9DD6139E9C31C87C95E2,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C7670AEEE7FA0F803F6A,R01ZF_REUSED_R01ZF_PERSON001,SAR_MERGE_LIKE_HYPOTHESIS,12,15,STRUCTURAL_HYPOTHESIS,existing frozen sar_topology_state contains MERGE,False,False,False
TERGSE_C61B988F7578154E9D0D,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C7670AEEE7FA0F803F6A,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,11,15,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
TERGSE_63CCC23CCDC291955BDE,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_A1A92464D57733DA7EA6,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,11,12,GRAPH_COMPONENT_HYPOTHESIS,2 q95 nodes and 1 P0-supported edges,False,False,False
TERGSE_F63EE109688C756603A7,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_A1A92464D57733DA7EA6,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,11,11,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_FF99B8C347F2A66E4157,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_A1A92464D57733DA7EA6,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,12,12,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_F4B5206709DB62D59DBE,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_1F285D592F55D3D510FD,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,11,11,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_17E2680582B67A371AC9,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_1F285D592F55D3D510FD,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,11,11,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_92834D294B4BA571879E,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_1F285D592F55D3D510FD,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,11,11,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_9471557C41962ACF11AC,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_AE2649555B0A7CEFCAC4,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,12,12,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
