sar_event_id,segment_id,run_id,explanation_component_id,track_id,event_type,support_start_sar_frame,support_end_sar_frame,event_uncertainty_state,observable_evidence,event_is_person_event,event_is_hard_label,manual_reference_used
TERGSE_4624A08C2020B47DBC15,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_1A22772596802EBA0D1C,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,5,5,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_BD940AB361DC843E28E1,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_F753396437896B1745A9,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,6,15,GRAPH_COMPONENT_HYPOTHESIS,10 q95 nodes and 9 P0-supported edges,False,False,False
TERGSE_9ED8DE203B656DCB801B,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_F753396437896B1745A9,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,6,6,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_70423A63DAEF3249B2B6,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_F753396437896B1745A9,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,6,14,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
TERGSE_4534E7CCFBA73BEF3A27,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C6D3E44571DC7C60BE4F,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,6,6,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_4B6821831EAD90E2EE29,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C6D3E44571DC7C60BE4F,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,6,6,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_BC2054F303EBE23DF8BB,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C6D3E44571DC7C60BE4F,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,6,6,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_EB2392BBD22ABE908CE7,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_7B72E60C94E71E8F418F,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,7,15,GRAPH_COMPONENT_HYPOTHESIS,9 q95 nodes and 8 P0-supported edges,False,False,False
TERGSE_66F99E45185B5F1F23B7,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_7B72E60C94E71E8F418F,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,7,7,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_054701F8E0B7CE90CE27,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_7B72E60C94E71E8F418F,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,7,15,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
TERGSE_21DEBBF704D210A9FA06,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_3D682824669802DF7877,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_PERSISTENCE,8,10,GRAPH_COMPONENT_HYPOTHESIS,3 q95 nodes and 2 P0-supported edges,False,False,False
TERGSE_1F0686D0C1DA0C86CB23,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_3D682824669802DF7877,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,8,8,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_1BB62F5790677B810441,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_3D682824669802DF7877,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,10,10,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_42A87150BF9AAF30227A,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_3D682824669802DF7877,R01ZF_REUSED_R01ZF_PERSON001,SAR_DEFORMATION_HYPOTHESIS,8,9,STRUCTURAL_HYPOTHESIS,existing frozen sar_p0_residual_state contains DEFORMATION,False,False,False
