segment_id,run_id,track_id,grounding_state,dominant_target_id_offline,assigned_frame_count,unique_target_count,dominant_target_fraction,grounding_semantics,runtime_use_allowed
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,LIKELY,R01ZF_SARPERSON02,4,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,LIKELY,R01ZF_SARPERSON03,4,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,LIKELY,R01ZF_SARPERSON03,25,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,LIKELY,R01ZF_SARPERSON02,25,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,LIKELY,R01ZF_SARPERSON03,25,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_253C26F1BF4B2985C601,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,LIKELY,R01ZF_SARPERSON02,26,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,LIKELY,R01ZF_SARPERSON02,21,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,LIKELY,R01ZF_SARPERSON03,21,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,LIKELY,R01ZF_SARPERSON01,21,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,LIKELY,R01ZF_SARPERSON03,21,1,1.0,OFFLINE_FRAME_LEVEL_GEOMETRIC_REFERENCE_NOT_RUNTIME_IDENTITY,False
