scenario,entity_kind,run_id,frame_index,entity_id,target_id_oracle,range_tolerance_m,range_oracle_level,N_region_before,N_region_after,N_family_before,N_family_after,A_candidate_px_before,A_candidate_px_after,A_candidate_m2_before,A_candidate_m2_after,reference_range_retained,oracle_diagnostic_only,counterexample_kind
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,70,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,4,16,4,7523.0,1490.0,8.605499308038755,1.7043990388113444,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,10,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,17,4,15,4,7482.0,1699.0,8.558599737172134,1.9434724610338754,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,25,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,22,4,15,4,6922.0,1880.0,7.9180202326524345,2.150516908030421,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,45,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,4,15,4,7862.0,1534.0,8.993278686667644,1.7547302855950355,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,47,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,16,4,15,4,6278.0,1229.0,7.18135380245478,1.40584323402627,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,45,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,14,4,14,4,7238.0,1487.0,8.279490095917124,1.700967362894275,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,65,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,15,4,14,4,4688.0,950.0,5.362565566407774,1.0866973737387768,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,75,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,17,5,14,4,7918.0,1400.0,9.057336637119615,1.60144876129925,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,70,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,14,4,11,4,4386.0,1401.0,5.017110190756078,1.6025926532716064,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,50,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,19,3,19,3,6954.0,876.0,7.9546247757678445,1.0020493677843878,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,55,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,19,3,19,3,5753.0,734.0,6.580810516967561,0.8396167077097496,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,28,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,18,3,16,3,5760.0,1312.0,6.588817760774057,1.5007862677318684,True,True,PM3M_STILL_MULTIPLE_FAMILIES
