trajectory_id,trajectory_kind,run_id,strict_family_id,admissible_frame_count,unique_frame_count,competing_frame_count,temporal_span_frames,trajectory_length_frames,temporal_occupancy,reselection_after_gap_count,ambiguous_bridge_count,first_offset,last_offset,admissible_offsets,unique_offsets,range_center_min_m,range_center_max_m,theta_center_min_deg,theta_center_max_deg,reference_frame_count,reference_radial_support_retained_fraction,reference_theta_support_retained_fraction,reference_2d_support_retained_fraction
R02ZF::R02ZF_REUSED_R02ZF_PERSON017,NATURAL_OPTICAL_CORRIDOR,R02ZF,P0MF_3D76EE7A60FF52E91451,28,0,28,28,41,0.6829268292682927,0,26,0,27,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27,,7.365175160793943,9.72810681528388,-53.95114707946777,-40.91548538208008,3,0.0,0.0,0.0
R02ZF::R02ZF_REUSED_R02ZF_PERSON018,NATURAL_OPTICAL_CORRIDOR,R02ZF,P0MF_720F6AE6DD4AD4A5AC23,21,0,21,21,41,0.5121951219512195,0,19,0,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,,17.659723511234063,19.07811562437975,-38.09075355529785,-32.83814239501953,2,0.0,1.0,0.0
R02ZF::R02ZF_REUSED_R02ZF_PERSON021,NATURAL_OPTICAL_CORRIDOR,R02ZF,P0MF_25A946995280BB2E8F13,11,0,11,11,13,0.8461538461538461,0,9,2,12,2;3;4;5;6;7;8;9;10;11;12,,10.929877085838761,11.789952744030305,-50.88716506958008,-46.73181915283203,4,0.0,0.0,0.0
R02ZF::R02ZF_REUSED_R02ZF_PERSON023,NATURAL_OPTICAL_CORRIDOR,R02ZF,P0MF_25A946995280BB2E8F13,8,0,8,8,8,1.0,0,6,0,7,0;1;2;3;4;5;6;7,,10.929877085838761,11.397711194395985,-49.92584800720215,-46.73181915283203,4,0.0,0.0,0.0
R02ZF::R02ZF_REUSED_R02ZF_PERSON024,NATURAL_OPTICAL_CORRIDOR,R02ZF,P0MF_25A946995280BB2E8F13,6,0,6,6,6,1.0,0,4,0,5,0;1;2;3;4;5,,10.929877085838761,11.346800424455896,-49.43453025817871,-46.73181915283203,2,0.0,0.0,0.0
