family_id,track_id,frame_index,physical_region_id,frame_uid,region_id,theta_min_deg,theta_max_deg,segment_id,run_id
TERGV1F_DA80E1053DF3481FEE85,R02ZF_REUSED_R02ZF_PERSON017,494,TERGV1PR_AD0D8DF96A060A068918,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0021,-22.0607852935791,-19.9609375,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_DA80E1053DF3481FEE85,R02ZF_REUSED_R02ZF_PERSON017,494,TERGV1PR_B58B9A11FB131B4F17C4,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0015,-16.686552047729492,-3.934592962265015,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_DA80E1053DF3481FEE85,R02ZF_REUSED_R02ZF_PERSON017,494,TERGV1PR_C93B351273B539F35307,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0023,-23.314897537231445,-20.92554473876953,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,487,TERGV1PR_F042C15AEFF8A52F2889,R02ZF_SARF000487,R02ZF_SARF000487__Q095__R0026,-28.227096557617188,-27.14167594909668,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,488,TERGV1PR_0A1661579BCF76001027,R02ZF_SARF000488,R02ZF_SARF000488__Q095__R0025,-28.185691833496094,-27.00527572631836,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,489,TERGV1PR_C10ACDAF4BF5B983A42F,R02ZF_SARF000489,R02ZF_SARF000489__Q095__R0018,-28.233686447143555,-26.4162654876709,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,490,TERGV1PR_A87DB9F7549D4EB77D40,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0014,-27.7841911315918,-26.415674209594727,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,491,TERGV1PR_7A517F2BEF490EB493BD,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0011,-27.7841911315918,-26.00341415405273,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,492,TERGV1PR_4A85922053D168100F49,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0014,-27.42189598083496,-25.68625831604004,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,493,TERGV1PR_DE08437CEF886ADF02B9,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0008,-27.28686141967773,-25.18188095092773,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,494,TERGV1PR_9868575087E7FD0FC2ED,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0012,-27.242563247680664,-24.80409049987793,TERGS_406E06BEE8B19831E091,R02ZF
