run_id,evaluation_scope,runtime_hypothesis_count,offline_parent_proxy_count,offline_parent_with_multiple_raw_hypotheses_count,max_raw_hypotheses_per_offline_parent,runtime_reentry_identity_resolution_count,identity_contamination_strict_metric_available,strict_person_gt_available
R01ZF,EXPLORATORY_GT_BLIND_FULL_RUN_STITCH_PROXY_ONLY,12,8,3,3,0,False,False
R02ZF,EXPLORATORY_GT_BLIND_FULL_RUN_STITCH_PROXY_ONLY,33,14,7,10,0,False,False
R03ZF,EXPLORATORY_GT_BLIND_FULL_RUN_STITCH_PROXY_ONLY,5,2,2,3,0,False,False
