d_parallel_m,response_median,response_q75,contrast_median,contrast_p25,theta_coherence_median,theta_coherence_p25,temporal_persistence,temporal_positive_fraction,temporal_contrast_iqr,contrast_smooth,persistence_coherence_score
2.0,0.2625345,0.27847351133823395,0.02287072,0.020595882087945938,0.7064676616915423,0.6716417910447762,1.0,1.0,0.0052677057683467865,0.012305536782260495,0.010343004327183238
2.05,0.25675553,0.27835477888584137,0.012515329,0.009076282382011414,0.527363184079602,0.48880597014925375,0.6851851851851852,1.0,0.005212161689996719,0.010100118096351165,0.00607135095282871
2.1,0.24665287,0.2683517187833786,-0.0030943677,-0.005744487047195435,0.3606965174129353,0.3246268656716418,0.0,0.14814814814814814,0.005039811134338379,0.006789185972091176,0.0
2.1499999,0.2410386,0.2622702270746231,-0.011297487,-0.014412917196750641,0.2562189054726368,0.22885572139303484,0.0,0.0,0.005461104214191437,0.0037224096901502628,0.0
2.1999998,0.2372549,0.2548866420984268,-0.010903038,-0.012810204178094864,0.21890547263681592,0.19402985074626866,0.0,0.0,0.004771754145622253,0.0016560883356271092,0.0
2.2499998,0.23241422,0.24767156690359116,-0.016758576,-0.019722722470760345,0.10945273631840796,0.0845771144278607,0.0,0.0,0.006912529468536377,0.0005944509604667203,0.0
2.2999997,0.22520679,0.24387256056070328,-0.03151042,-0.034459248185157776,0.014925373134328358,0.009950248756218905,0.0,0.0,0.005591284483671188,0.00017118591840290244,0.0
2.3499997,0.22060357,0.24026501178741455,-0.03592217,-0.04001801460981369,0.014925373134328358,0.009950248756218905,0.0,0.0,0.007998250424861908,3.92435474751758e-05,0.0
2.3999996,0.21687347,0.2365349382162094,-0.036787666,-0.04041244089603424,0.014925373134328358,0.009950248756218905,0.0,0.0,0.008543934673070908,6.991475158201534e-06,0.0
2.4499996,0.21171874,0.22935432195663452,-0.036251545,-0.04006779566407204,0.014925373134328358,0.009950248756218905,0.0,0.0,0.007561672478914261,8.3747936771834e-07,0.0
2.4999995,0.2094899,0.22441405802965164,-0.03230699,-0.03612324595451355,0.029850746268656716,0.014925373134328358,0.0,0.0,0.0064855292439460754,0.0,0.0
2.5499995,0.20337011,0.22248774021863937,-0.028592221,-0.033138033002614975,0.03482587064676617,0.026119402985074626,0.0,0.0,0.007050413638353348,0.0,0.0
2.5999994,0.20206803,0.2182827889919281,-0.030193008,-0.0325329452753067,0.029850746268656716,0.024875621890547265,0.0,0.0,0.0069699883460998535,0.0,0.0
2.6499994,0.19502145,0.21178767830133438,-0.026014857,-0.027964148670434952,0.029850746268656716,0.01616915422885572,0.0,0.0,0.004829205572605133,0.0,0.0
2.6999993,0.19667587,0.20954351127147675,-0.02123928,-0.023200053721666336,0.05472636815920398,0.04477611940298507,0.0,0.0,0.0037875212728977203,0.0,0.0
2.7499993,0.19605163,0.20677466690540314,-0.022778802,-0.024800855666399002,0.029850746268656716,0.01990049751243781,0.0,0.0,0.003609452396631241,0.0,0.0
2.7999992,0.19583334,0.20539215952157974,-0.020917602,-0.02380131185054779,0.04975124378109453,0.041044776119402986,0.0,0.0,0.0052313171327114105,0.0,0.0
2.8499992,0.19528186,0.20557598769664764,-0.016984537,-0.01910807564854622,0.05223880597014925,0.03980099502487562,0.0,0.0,0.003632429987192154,0.0,0.0
2.8999991,0.19542357,0.20441177487373352,-0.017478548,-0.020145896822214127,0.06467661691542288,0.046019900497512436,0.0,0.0,0.004727695137262344,0.0,0.0
2.949999,0.19338235,0.20148590952157974,-0.01653646,-0.017769604921340942,0.04228855721393035,0.029850746268656716,0.0,0.0,0.0029488392174243927,0.0,0.0
2.999999,0.19496018,0.2051011025905609,-0.011439182,-0.013938076794147491,0.0945273631840796,0.07462686567164178,0.0,0.0,0.0043486133217811584,0.0,0.0
3.049999,0.19274664,0.20020680874586105,-0.012354463,-0.013825058937072754,0.05472636815920398,0.041044776119402986,0.0,0.0,0.0033662505447864532,0.0,0.0
3.099999,0.19004288,0.19908088445663452,-0.012331486,-0.014131437987089157,0.08208955223880597,0.060945273631840796,0.0,0.0,0.003959871828556061,0.0,0.0
3.149999,0.1922641,0.19992340356111526,-0.008823521,-0.010386023670434952,0.0845771144278607,0.06467661691542288,0.0,0.0,0.003381580114364624,0.0,0.0
3.1999989,0.19324067,0.20166590809822083,-0.0087699145,-0.010393686592578888,0.0945273631840796,0.07960199004975124,0.0,0.0,0.0032896772027015686,0.0,0.0
3.2499988,0.19248623,0.19912684708833694,-0.010018386,-0.011661306023597717,0.08208955223880597,0.05970149253731343,0.0,0.0,0.0028186142444610596,0.0,0.0
3.2999988,0.19405255,0.20340073853731155,-0.0064606294,-0.008147597312927246,0.11940298507462686,0.09950248756218906,0.0,0.0,0.0026807598769664764,0.0,0.0
3.3499987,0.19534314,0.2036917880177498,-0.006946996,-0.008197370916604996,0.09950248756218906,0.0808457711442786,0.0,0.0,0.0019875764846801758,0.0,0.0
3.3999987,0.19322917,0.19969364255666733,-0.009329043,-0.010696221143007278,0.08706467661691542,0.06467661691542288,0.0,0.0,0.00364009290933609,0.0,0.0
3.4499986,0.1943934,0.20097273588180542,-0.0072495267,-0.008624374866485596,0.1044776119402985,0.0845771144278607,0.0,0.0,0.003071371465921402,0.0,0.0
3.4999986,0.19466147,0.20153570175170898,-0.0071193352,-0.008157175034284592,0.1044776119402985,0.07960199004975124,0.0,0.0,0.0023782216012477875,0.0,0.0
3.5499985,0.19450063,0.20189185440540314,-0.0087316185,-0.01055452972650528,0.09950248756218906,0.0808457711442786,0.0,0.0,0.002910532057285309,0.0,0.0
3.5999985,0.19403338,0.20244715362787247,-0.007123165,-0.008691396564245224,0.08955223880597014,0.07462686567164178,0.0,0.0,0.0026214048266410828,0.0,0.0
3.6499984,0.19408701,0.20269224792718887,-0.0066406354,-0.007846962660551071,0.12935323383084577,0.10945273631840796,0.0,0.0,0.0022097155451774597,0.0,0.0
3.6999984,0.19437808,0.20261948555707932,-0.008498013,-0.009386491030454636,0.09203980099502487,0.0708955223880597,0.0,0.0,0.0016276203095912933,0.0,0.0
3.7499983,0.19638097,0.20423176884651184,-0.0072380453,-0.008584186434745789,0.11194029850746269,0.0945273631840796,0.0,0.0,0.002439502626657486,0.0,0.0
3.7999983,0.19685203,0.20472197234630585,-0.0060738176,-0.007239963859319687,0.10945273631840796,0.08955223880597014,0.0,0.0,0.0021924786269664764,0.0,0.0
3.8499982,0.19644608,0.20546109974384308,-0.008030795,-0.009510956704616547,0.11442786069651742,0.08582089552238806,0.0,0.0,0.00294310599565506,0.0,0.0
3.8999982,0.19772902,0.20587851852178574,-0.006870419,-0.00849032774567604,0.09950248756218906,0.07462686567164178,0.0,0.0,0.0026290379464626312,0.0,0.0
3.9499981,0.19791669,0.2079656794667244,-0.0058670267,-0.0073854997754096985,0.1616915422885572,0.1318407960199005,0.0,0.0,0.0035405196249485016,0.0,0.0
3.999998,0.19693628,0.20563725382089615,-0.0075635687,-0.009030327200889587,0.0945273631840796,0.07587064676616914,0.0,0.0,0.00284542515873909,0.0,0.0
4.0499983,0.19883578,0.20787759870290756,-0.0065869987,-0.007917821407318115,0.12935323383084577,0.11940298507462686,0.0,0.0,0.0024682097136974335,0.0,0.0
4.099998,0.1996247,0.20708486437797546,-0.005277276,-0.006642527878284454,0.12189054726368159,0.10945273631840796,0.0,0.0,0.0023954324424266815,0.0,0.0
4.1499977,0.19892004,0.20840226858854294,-0.0069393367,-0.008333314210176468,0.14179104477611942,0.11940298507462686,0.0,0.0,0.0032819919288158417,0.0,0.0
4.199998,0.20027575,0.20814567804336548,-0.0056678876,-0.007686112076044083,0.11442786069651742,0.08955223880597014,0.0,0.0,0.0028473399579524994,0.0,0.0
4.249998,0.2007353,0.20940564572811127,-0.00476408,-0.006284475326538086,0.1691542288557214,0.14925373134328357,0.0,0.0,0.002983320504426956,0.0,0.0
4.299998,0.20116422,0.21007966250181198,-0.0044041052,-0.006280630826950073,0.13681592039800994,0.11442786069651742,0.0,0.0,0.002906709909439087,0.0,0.0
4.3499975,0.20075062,0.21066559106111526,-0.00497856,-0.006380200386047363,0.16417910447761194,0.13930348258706468,0.0,0.0,0.0025715939700603485,0.0,0.0
4.3999977,0.20119485,0.21125919371843338,-0.0046262294,-0.006665509194135666,0.15422885572139303,0.12437810945273632,0.0,0.018518518518518517,0.00383155420422554,0.0,0.0
4.449998,0.20168504,0.21117493510246277,-0.009428613,-0.011247694492340088,0.0945273631840796,0.07462686567164178,0.0,0.0,0.003529030829668045,2.1218785713050489e-07,0.0
4.4999976,0.19977787,0.20920266956090927,-0.015977323,-0.01741727814078331,0.05472636815920398,0.04477611940298507,0.0,0.0,0.0032360516488552094,2.0975964788785648e-06,0.0
4.5499973,0.1999081,0.21047794073820114,-0.015954345,-0.021208640187978745,0.06467661691542288,0.04477611940298507,0.0,0.0,0.008563097566366196,1.2311676957936388e-05,0.0
4.5999975,0.19854091,0.20978860557079315,-0.006755516,-0.008482702076435089,0.13432835820895522,0.11442786069651742,0.0,0.0,0.0033490508794784546,5.55383013089075e-05,0.0
4.6499977,0.19730392,0.20693933963775635,-0.0052504763,-0.006696131080389023,0.1616915422885572,0.14427860696517414,0.0,0.05555555555555555,0.0034083910286426544,0.00019995525654481597,0.0
4.6999974,0.19681372,0.20611213892698288,-0.0030790493,-0.0052313171327114105,0.18656716417910446,0.1654228855721393,0.0,0.05555555555555555,0.0035194791853427887,0.0005758151826841927,0.0
4.749997,0.1960631,0.20508578419685364,-0.0041666627,-0.0057215094566345215,0.19900497512437812,0.1691542288557214,0.0,0.0,0.0031479857861995697,0.0013285095931875707,0.0
4.7999973,0.1993796,0.21147365868091583,-0.0030943528,-0.006169572472572327,0.22139303482587064,0.1691542288557214,0.0,0.18518518518518517,0.00501493364572525,0.002458174073360352,0.0
4.8499975,0.20554537,0.21982230991125107,0.0031709448,0.0009612478315830231,0.3407960199004975,0.2885572139303483,0.018518518518518517,0.7777777777777778,0.00429878756403923,0.0036486863297710546,0.00028985907815095197
4.899997,0.21268383,0.23133425414562225,0.010669418,0.009087786078453064,0.5099502487562189,0.4838308457711443,0.6296296296296297,0.9629629629629629,0.003946445882320404,0.004342206147358102,0.0024604634638221707
4.949997,0.20903033,0.2230238988995552,0.009405635,0.005826808512210846,0.48756218905472637,0.4253731343283582,0.46296296296296297,1.0,0.008756507188081741,0.0041380294724334245,0.0019659918498002465
4.999997,0.19430149,0.20611979812383652,-0.00281097,-0.00489431619644165,0.26616915422885573,0.22388059701492538,0.018518518518518517,0.2222222222222222,0.004549652338027954,0.003151944390638338,0.0002212893581248753
