candidate_id,d_parallel_peak_m,score,prominence,half_prominence_low_m,half_prominence_high_m,half_prominence_width_m,prominence_base_low_m,prominence_base_high_m,response_median,contrast_median,contrast_p25,theta_coherence_median,theta_coherence_p25,temporal_persistence,temporal_positive_fraction,temporal_contrast_iqr,score_rank,candidate_role,temporal_center_mad_scale_m,stable_available_frames,stable_total_frames,stable_availability_fraction,frame_availability_threshold_contrast,frame_availability_threshold_theta_coherence,manual_sar_reference_used
STATIC_BAND_D07.10,7.099995136260986,0.0050816999257097,0.0050816999257097,7.0138682115607445,7.143979247760493,0.1301110361997486,6.949995040893555,7.299994945526123,0.2331341952085495,0.012630209326744,0.0112247169017791,0.5323383084577115,0.5124378109452736,0.7962962962962963,1.0,0.003720499575138,1,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,0.025,48,54,0.8888888888888888,0.01,0.45,False
STATIC_BAND_D04.90,4.899997234344482,0.0024604634638221,0.0024604634638221,4.87165880089268,4.971082713268432,0.0994239123757523,4.799997329711914,5.049997329711914,0.2126838266849517,0.0106694176793098,0.009087786078453,0.5099502487562189,0.4838308457711443,0.6296296296296297,0.9629629629629628,0.0039464458823204,2,ALTERNATE_NEAR_STATIC_BOUNDARY_IDENTITY_CONFOUNDER,0.025,42,54,0.7777777777777778,0.01,0.45,False
STATIC_BAND_D12.40,12.39999008178711,0.0013545490339927,0.0013545490339927,12.353164234355472,12.500323562223022,0.1471593278675508,12.299989700317385,12.549989700317385,0.204928770661354,0.0077627226710319,0.0062844716012477,0.472636815920398,0.4552238805970149,0.2037037037037037,1.0,0.0027822367846965,3,FAR_PARALLEL_STATIC_CLUTTER_CONFOUNDER,0.07413028278350829,20,54,0.37037037037037035,0.01,0.45,False
