sensitivity,denominator_shell_rows,available_shell_rows,availability_fraction,curb_range_width_median,curb_range_width_p90,curb_range_width_max
CURRENT_FROZEN,157,145,0.9235668789808917,2.2565149844221644,2.7788697034889545,3.141030598229376
PLUS_MINUS_1_DEG,157,145,0.9235668789808917,0.4603986542366538,0.6413172669558768,0.7689584822387481
PLUS_MINUS_2_DEG,157,145,0.9235668789808917,0.6841279425151541,0.9740998686825719,1.1169671310426086
PLUS_MINUS_3_DEG,157,145,0.9235668789808917,0.9045548444136688,1.316360577873052,1.4676774661560774
PLUS_MINUS_4_DEG,157,145,0.9235668789808917,1.1267736367584682,1.6672189745982227,1.822281561776789
PLUS_MINUS_6_DEG,157,145,0.9235668789808917,1.5788653543155657,2.3850116113266058,2.548140536529486
