run_id,sar_frame_index,candidate_id,score_rank,d_peak_m,d_half_height_raw_low_m,d_half_height_raw_high_m,local_peak_contrast,theta_coherence_fraction,available_raw,primary_window,negative_control,temporal_center_mad_scale_m,d_band_low_m,d_band_high_m,band_width_m,availability_state,candidate_role,manual_sar_reference_used
R02ZF,0,STATIC_BAND_D07.10,1,6.949995040893555,6.924995040893554,6.974995040893555,-0.0088081955909729,0.23880597014925373,False,False,True,0.025,6.899995040893554,6.999995040893555,0.10000000000000142,CURB_UNAVAILABLE_LOCAL_CONTRAST_OR_COHERENCE,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,30,STATIC_BAND_D07.10,1,6.949995040893555,6.924995040893554,6.974995040893555,-0.0054917484521865845,0.21393034825870647,False,False,True,0.025,6.899995040893554,6.999995040893555,0.10000000000000142,CURB_UNAVAILABLE_LOCAL_CONTRAST_OR_COHERENCE,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,60,STATIC_BAND_D07.10,1,7.049995422363281,7.024995422363281,7.074995422363282,-0.006449148058891296,0.2736318407960199,False,False,True,0.025,6.9999954223632805,7.099995422363282,0.10000000000000142,CURB_UNAVAILABLE_LOCAL_CONTRAST_OR_COHERENCE,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,375,STATIC_BAND_D07.10,1,7.199995040893555,7.174995040893554,7.224995040893555,-0.0006434023380279541,0.31840796019900497,False,False,True,0.025,7.149995040893554,7.249995040893555,0.10000000000000142,CURB_UNAVAILABLE_LOCAL_CONTRAST_OR_COHERENCE,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,390,STATIC_BAND_D07.10,1,7.199995040893555,7.174995040893554,7.224995040893555,-0.005828723311424255,0.23383084577114427,False,False,True,0.025,7.149995040893554,7.249995040893555,0.10000000000000142,CURB_UNAVAILABLE_LOCAL_CONTRAST_OR_COHERENCE,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,405,STATIC_BAND_D07.10,1,7.049995422363281,7.024995422363281,7.074995422363282,0.0,0.1890547263681592,False,False,True,0.025,6.9999954223632805,7.099995422363282,0.10000000000000142,CURB_UNAVAILABLE_LOCAL_CONTRAST_OR_COHERENCE,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,414,STATIC_BAND_D07.10,1,7.049995422363281,7.024995422363281,7.124995136260987,0.010868579149246216,0.5124378109452736,True,False,True,0.025,6.9999954223632805,7.149995136260987,0.1499997138977065,CURB_BAND_AVAILABLE_GT_BLIND,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,421,STATIC_BAND_D07.10,1,7.049995422363281,6.974995231628418,7.124995136260987,0.013802096247673035,0.5223880597014925,True,True,False,0.025,6.949995231628417,7.149995136260987,0.19999990463256978,CURB_BAND_AVAILABLE_GT_BLIND,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,422,STATIC_BAND_D07.10,1,7.049995422363281,7.024995422363281,7.124995136260987,0.010700106620788574,0.5074626865671642,True,True,False,0.025,6.9999954223632805,7.149995136260987,0.1499997138977065,CURB_BAND_AVAILABLE_GT_BLIND,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
R02ZF,423,STATIC_BAND_D07.10,1,7.049995422363281,7.024995422363281,7.124995136260987,0.009152889251708984,0.4925373134328358,False,True,False,0.025,6.9999954223632805,7.149995136260987,0.1499997138977065,CURB_UNAVAILABLE_LOCAL_CONTRAST_OR_COHERENCE,PRIMARY_CURB_COMPATIBLE_STATIC_BOUNDARY,False
