run_id,sar_frame_index,optical_frame_index,sar_timestamp_ms,optical_timestamp_ms,timestamp_delta_ms,person_hypothesis_count,sar_image_path,optical_image_path,sync_status,review_group
R02ZF,0,0,0,0,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000000_t000000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000000_t000000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,30,18,1000,1000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000030_t001000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000018_t001000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,60,36,2000,2000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000060_t002000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000036_t002000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,90,54,3000,3000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000090_t003000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000054_t003000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,120,72,4000,4000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000120_t004000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000072_t004000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,150,90,5000,5000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000150_t005000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000090_t005000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,180,108,6000,6000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000180_t006000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000108_t006000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,210,126,7000,7000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000210_t007000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000126_t007000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,240,144,8000,8000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000240_t008000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000144_t008000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,270,162,9000,9000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000270_t009000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000162_t009000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
