run,event,source_media,frame_index,observation_id,visual_asset
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,5-5,GM_RM011:PV001:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV001_CI01.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,41-43,GM_RM011:PV003:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV003_CI01.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,45-46,GM_RM011:PV003:CI02,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV003_CI02.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,55-56,GM_RM011:PV004:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV004_CI01.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,58-58,GM_RM011:PV004:CI02,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV004_CI02.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,122-126,GM_RM011:PV006:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV006_CI01.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,167-167,GM_RM011:PV009:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV009_CI01.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,253-253,GM_RM011:PV011:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV011_CI01.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,272-272,GM_RM011:PV012:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV012_CI01.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,281-281,GM_RM011:PV012:CI02,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV012_CI02.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,294-295,GM_RM011:PV013:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV013_CI01.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,297-299,GM_RM011:PV013:CI02,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV013_CI02.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,301-303,GM_RM011:PV013:CI03,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV013_CI03.png
TPGT-GM-B1.2,GM_RM011_CAR_INTERVAL,D:\profile\research\data\GM_RM011\GM_RM011_frames,305-305,GM_RM011:PV013:CI04,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM011\GM_RM011_PV013_CI04.png
TPGT-GM-B1.2,GM_RM017_CAR_INTERVAL,D:\profile\research\data\GM_RM017\GM_RM017_frames,129-159,GM_RM017:PV001:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM017\GM_RM017_PV001_CI01.png
TPGT-GM-B1.2,GM_RM017_CAR_INTERVAL,D:\profile\research\data\GM_RM017\GM_RM017_frames,154-173,GM_RM017:PV002:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM017\GM_RM017_PV002_CI01.png
TPGT-GM-B1.2,GM_RM017_CAR_INTERVAL,D:\profile\research\data\GM_RM017\GM_RM017_frames,162-188,GM_RM017:PV003:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM017\GM_RM017_PV003_CI01.png
TPGT-GM-B1.2,GM_RM017_CAR_INTERVAL,D:\profile\research\data\GM_RM017\GM_RM017_frames,169-201,GM_RM017:PV004:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM017\GM_RM017_PV004_CI01.png
TPGT-GM-B1.2,GM_RM019_CAR_INTERVAL,D:\profile\research\data\GM_RM019\GM_RM019_frames,1-1,GM_RM019:PV001:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM019\GM_RM019_PV001_CI01.png
TPGT-GM-B1.2,GM_RM019_CAR_INTERVAL,D:\profile\research\data\GM_RM019\GM_RM019_frames,20-20,GM_RM019:PV002:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM019\GM_RM019_PV002_CI01.png
TPGT-GM-B1.2,GM_RM019_CAR_INTERVAL,D:\profile\research\data\GM_RM019\GM_RM019_frames,22-23,GM_RM019:PV002:CI02,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM019\GM_RM019_PV002_CI02.png
TPGT-GM-B1.2,GM_RM019_CAR_INTERVAL,D:\profile\research\data\GM_RM019\GM_RM019_frames,26-26,GM_RM019:PV002:CI03,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM019\GM_RM019_PV002_CI03.png
TPGT-GM-B1.2,GM_RM019_CAR_INTERVAL,D:\profile\research\data\GM_RM019\GM_RM019_frames,118-121,GM_RM019:PV003:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM019\GM_RM019_PV003_CI01.png
TPGT-GM-B1.2,GM_RM019_CAR_INTERVAL,D:\profile\research\data\GM_RM019\GM_RM019_frames,123-123,GM_RM019:PV003:CI02,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM019\GM_RM019_PV003_CI02.png
TPGT-GM-B1.2,GM_RM019_CAR_INTERVAL,D:\profile\research\data\GM_RM019\GM_RM019_frames,136-136,GM_RM019:PV003:CI03,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM019\GM_RM019_PV003_CI03.png
TPGT-GM-B1.2,GM_RM019_CAR_INTERVAL,D:\profile\research\data\GM_RM019\GM_RM019_frames,168-168,GM_RM019:PV004:CI01,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\02_car_contact_sheets\GM_RM019\GM_RM019_PV004_CI01.png
TPGT-GM-B1.2,GM_RM017_PERSON_RESCOUNT,D:\profile\research\data\GM_RM017\GM_RM017_frames,65-75,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_001,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\05_person_contact_sheets\GM_RM017_PROVISIONAL_OPTICAL_PERSON_ID_001.png
TPGT-GM-B1.2,GM_RM017_PERSON_RESCOUNT,D:\profile\research\data\GM_RM017\GM_RM017_frames,67-75,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_002,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\05_person_contact_sheets\GM_RM017_PROVISIONAL_OPTICAL_PERSON_ID_002.png
TPGT-GM-B1.2,GM_RM017_PERSON_RESCOUNT,D:\profile\research\data\GM_RM017\GM_RM017_frames,69-74,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_003,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\05_person_contact_sheets\GM_RM017_PROVISIONAL_OPTICAL_PERSON_ID_003.png
TPGT-GM-B1.2,GM_RM017_PERSON_RESCOUNT,D:\profile\research\data\GM_RM017\GM_RM017_frames,85-89,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_006,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\05_person_contact_sheets\GM_RM017_PROVISIONAL_OPTICAL_PERSON_ID_006.png
TPGT-GM-B1.2,GM_RM017_PERSON_RESCOUNT,D:\profile\research\data\GM_RM017\GM_RM017_frames,215-241,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_008,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\05_person_contact_sheets\GM_RM017_PROVISIONAL_OPTICAL_PERSON_ID_008.png
TPGT-GM-B1.2,GM_RM017_PERSON_RESCOUNT,D:\profile\research\data\GM_RM017\GM_RM017_frames,222-239,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_009,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\05_person_contact_sheets\GM_RM017_PROVISIONAL_OPTICAL_PERSON_ID_009.png
TPGT-GM-B1.2,GM_RM017_PERSON_RESCOUNT,D:\profile\research\data\GM_RM017\GM_RM017_frames,323-329,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_011,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\05_person_contact_sheets\GM_RM017_PROVISIONAL_OPTICAL_PERSON_ID_011.png
TPGT-GM-B1.2,GM_RM017_PERSON_RESCOUNT,D:\profile\research\data\GM_RM017\GM_RM017_frames,363-367,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_014,D:\profile\research\wt_b12\output\tpgt\gm_complete_interval_b12\05_person_contact_sheets\GM_RM017_PROVISIONAL_OPTICAL_PERSON_ID_014.png
