family_id,track_id,frame_index,physical_region_id,frame_uid,region_id,theta_min_deg,theta_max_deg,segment_id,run_id
TERGV1F_0DCE3F561ABA057F1A65,R02ZF_REUSED_R02ZF_PERSON017,491,TERGV1PR_DC1013A510B5F98AD25B,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0059,-18.283796310424805,-18.15096473693848,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_2D233EEE8FDE61262BE2,R02ZF_REUSED_R02ZF_PERSON017,490,TERGV1PR_ED5020D4AB53724BA8D8,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0006,-23.80506134033203,-18.76361083984375,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_2D233EEE8FDE61262BE2,R02ZF_REUSED_R02ZF_PERSON017,491,TERGV1PR_703157A5234D78FC0FC4,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0003,-23.409751892089844,-18.416059494018555,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_2D233EEE8FDE61262BE2,R02ZF_REUSED_R02ZF_PERSON017,492,TERGV1PR_FB6A5E402050EC3C45F7,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0005,-21.98810577392578,-18.032283782958984,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_2D233EEE8FDE61262BE2,R02ZF_REUSED_R02ZF_PERSON017,493,TERGV1PR_7C69BFC892594E57CC21,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0003,-21.58045959472656,-17.649946212768555,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_2D233EEE8FDE61262BE2,R02ZF_REUSED_R02ZF_PERSON017,494,TERGV1PR_58905A4E1145EDBC6378,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0007,-21.10737609863281,-17.3017578125,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_08342AD25BABA1A6D808,R02ZF_REUSED_R02ZF_PERSON018,493,TERGV1PR_6A319DFA2FAADB40F64B,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0052,-27.065889358520508,-25.782344818115234,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_08342AD25BABA1A6D808,R02ZF_REUSED_R02ZF_PERSON018,494,TERGV1PR_4B98B2EE0838423332AE,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0049,-25.887222290039062,-25.348169326782227,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_44BF2C0248DDEE5A38F9,R02ZF_REUSED_R02ZF_PERSON018,490,TERGV1PR_ED5020D4AB53724BA8D8,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0006,-23.80506134033203,-18.76361083984375,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_44BF2C0248DDEE5A38F9,R02ZF_REUSED_R02ZF_PERSON018,491,TERGV1PR_703157A5234D78FC0FC4,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0003,-23.409751892089844,-18.416059494018555,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_44BF2C0248DDEE5A38F9,R02ZF_REUSED_R02ZF_PERSON018,492,TERGV1PR_FB6A5E402050EC3C45F7,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0005,-21.98810577392578,-18.032283782958984,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_44BF2C0248DDEE5A38F9,R02ZF_REUSED_R02ZF_PERSON018,493,TERGV1PR_7C69BFC892594E57CC21,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0003,-21.58045959472656,-17.649946212768555,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_44BF2C0248DDEE5A38F9,R02ZF_REUSED_R02ZF_PERSON018,494,TERGV1PR_58905A4E1145EDBC6378,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0007,-21.10737609863281,-17.3017578125,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_B8D05BDDD9E67F79A1D7,R02ZF_REUSED_R02ZF_PERSON018,490,TERGV1PR_141DC01FBCE30EE542B8,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0009,-30.67096328735352,-25.24152183532715,TERGS_1BB7B9183580C17A201F,R02ZF
