case_id,segment_id,run_id,frame_index,track_a,track_b,family_a,family_b,nominal_optical_timestamp_ms,optical_relation,family_a_theta_min_deg,family_a_theta_max_deg,family_b_theta_min_deg,family_b_theta_max_deg,sar_relation,physical_region_shared,r0_pairing_status
strongest_D_LONGEST_SUPPORT,TERGS_1BB7B9183580C17A201F,R02ZF,494,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2D233EEE8FDE61262BE2,TERGV1F_E54A5F6BDC558FB43B7E,16444,A_LEFT_OF_B,-21.10737609863281,-17.3017578125,-27.242563247680664,-24.80409049987793,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_A_SUPPORT_1,TERGS_406E06BEE8B19831E091,R02ZF,492,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_0523EAEC17A647CEFBD0,TERGV1F_1EB4BB6131BB66D496D9,16389,A_LEFT_OF_B,-18.39065933227539,-14.814179420471191,-27.16231918334961,-24.275434494018555,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_B_SUPPORT_2,TERGS_406E06BEE8B19831E091,R02ZF,493,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_6FED02D44867AE04088D,16444,A_LEFT_OF_B,-17.645553588867188,-16.428401947021484,-27.065889358520508,-25.782344818115234,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_B_SUPPORT_2,TERGS_406E06BEE8B19831E091,R02ZF,494,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_6FED02D44867AE04088D,16444,A_LEFT_OF_B,-16.89647674560547,-16.290578842163086,-25.887222290039062,-25.348169326782227,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,R02ZF,487,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,16222,A_LEFT_OF_B,-18.89672088623047,-18.193601608276367,-28.227096557617188,-27.14167594909668,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,R02ZF,488,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,16278,A_LEFT_OF_B,-18.63964462280273,-18.06803321838379,-28.185691833496094,-27.00527572631836,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,R02ZF,489,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,16278,A_LEFT_OF_B,-18.513673782348636,-17.396427154541016,-28.233686447143555,-26.4162654876709,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,R02ZF,490,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,16333,A_LEFT_OF_B,-18.193601608276367,-17.173789978027344,-27.7841911315918,-26.415674209594727,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,R02ZF,491,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,16389,A_LEFT_OF_B,-18.001079559326172,-16.943143844604492,-27.7841911315918,-26.00341415405273,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,R02ZF,492,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,16389,A_LEFT_OF_B,-18.03244400024414,-16.787565231323242,-27.42189598083496,-25.68625831604004,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
