pair_constraint_id,order_profile_id,segment_id,run_id,track_a,track_b,family_a,family_b,optical_whole_segment_order,common_sar_support_frame_count,common_sar_support_frame_set,sar_family_pair_relation_set,sar_relation_sequence,opposite_definite_relation_required,all_common_frames_definite_opposite,aligned_shared_or_overlap_observed,pairing_status,hard_timing_offset_assumed,weighted_score_used,manual_reference_used,case_id,case_kind,segment_label,selection_reference_scope,figure_path
TERGR0PC_A8FA371A8BBD342E9020,TERGOP_21BB68DF234FD1F6D818,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_0DCE3F561ABA057F1A65,TERGV1F_44BF2C0248DDEE5A38F9,A_LEFT_OF_B,1,491,{RIGHT},491:RIGHT,RIGHT,True,False,LOGICALLY_EXCLUDED_PAIRING,False,False,False,strongest_A_SUPPORT_1,A_SUPPORT_1,strongest,PRE_REFERENCE_MECHANICAL,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_A_SUPPORT_1.jpg
TERGR0PC_6CDB98F29E61E89AAF4A,TERGOP_21BB68DF234FD1F6D818,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2D233EEE8FDE61262BE2,TERGV1F_08342AD25BABA1A6D808,A_LEFT_OF_B,2,493;494,{RIGHT},493:RIGHT;494:RIGHT,RIGHT,True,False,LOGICALLY_EXCLUDED_PAIRING,False,False,False,strongest_B_SUPPORT_2,B_SUPPORT_2,strongest,PRE_REFERENCE_MECHANICAL,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_B_SUPPORT_2.jpg
TERGR0PC_76B4DC009EFC6FF20870,TERGOP_21BB68DF234FD1F6D818,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2D233EEE8FDE61262BE2,TERGV1F_B8D05BDDD9E67F79A1D7,A_LEFT_OF_B,5,490;491;492;493;494,{RIGHT},490:RIGHT;491:RIGHT;492:RIGHT;493:RIGHT;494:RIGHT,RIGHT,True,False,LOGICALLY_EXCLUDED_PAIRING,False,False,False,strongest_C_SUPPORT_AT_LEAST_5,C_SUPPORT_AT_LEAST_5,strongest,PRE_REFERENCE_MECHANICAL,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_C_SUPPORT_AT_LEAST_5.jpg
TERGR0PC_DC97EE2A01514886B5B3,TERGOP_21BB68DF234FD1F6D818,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2D233EEE8FDE61262BE2,TERGV1F_E54A5F6BDC558FB43B7E,A_LEFT_OF_B,5,490;491;492;493;494,{RIGHT},490:RIGHT;491:RIGHT;492:RIGHT;493:RIGHT;494:RIGHT,RIGHT,True,False,LOGICALLY_EXCLUDED_PAIRING,False,False,False,strongest_D_LONGEST_SUPPORT,D_LONGEST_SUPPORT,strongest,PRE_REFERENCE_MECHANICAL,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_D_LONGEST_SUPPORT.jpg
TERGR0PC_712D551AA9534BFC2730,TERGOP_4477223B274F5A04D50A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_0523EAEC17A647CEFBD0,TERGV1F_1EB4BB6131BB66D496D9,A_LEFT_OF_B,1,492,{RIGHT},492:RIGHT,RIGHT,True,False,LOGICALLY_EXCLUDED_PAIRING,False,False,False,five_track_A_SUPPORT_1,A_SUPPORT_1,five_track,PRE_REFERENCE_MECHANICAL,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_A_SUPPORT_1.jpg
TERGR0PC_80C22F91CB6077C118E3,TERGOP_4477223B274F5A04D50A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_6FED02D44867AE04088D,A_LEFT_OF_B,2,493;494,{RIGHT},493:RIGHT;494:RIGHT,RIGHT,True,False,LOGICALLY_EXCLUDED_PAIRING,False,False,False,five_track_B_SUPPORT_2,B_SUPPORT_2,five_track,PRE_REFERENCE_MECHANICAL,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_B_SUPPORT_2.jpg
TERGR0PC_9A2ED68BA69FF8767DBA,TERGOP_4477223B274F5A04D50A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,A_LEFT_OF_B,8,487;488;489;490;491;492;493;494,{RIGHT},487:RIGHT;488:RIGHT;489:RIGHT;490:RIGHT;491:RIGHT;492:RIGHT;493:RIGHT;494:RIGHT,RIGHT,True,False,LOGICALLY_EXCLUDED_PAIRING,False,False,False,five_track_C_SUPPORT_AT_LEAST_5,C_SUPPORT_AT_LEAST_5,five_track,PRE_REFERENCE_MECHANICAL,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_C_SUPPORT_AT_LEAST_5.jpg
TERGR0PC_2AA0AC6A9E081D5758A1,TERGOP_4477223B274F5A04D50A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,A_LEFT_OF_B,8,487;488;489;490;491;492;493;494,{RIGHT},487:RIGHT;488:RIGHT;489:RIGHT;490:RIGHT;491:RIGHT;492:RIGHT;493:RIGHT;494:RIGHT,RIGHT,True,False,LOGICALLY_EXCLUDED_PAIRING,False,False,False,five_track_D_LONGEST_SUPPORT,D_LONGEST_SUPPORT,five_track,PRE_REFERENCE_MECHANICAL,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_D_LONGEST_SUPPORT.jpg
