segment_id,run_id,track_id,static_corridor_node_count,sum_component_node_count,all_static_nodes_retained_in_some_component,plausible_explanation_component_count,multi_frame_component_count,isolated_component_count,actual_pruned_component_count,actual_pruned_node_count,counterfactual_isolated_component_count,counterfactual_isolated_node_count,counterfactual_multiframe_node_count,likely_supported_component_count_post_reference,likely_supported_multiframe_component_count_post_reference,likely_supported_isolated_component_count_post_reference,current_potential_disambiguation_gt_blind,recommended_pre_reference_term
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,217,217,True,46,27,19,0,0,19,19,198,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,237,237,True,47,30,17,0,0,17,17,220,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,1165,1165,True,171,84,87,0,0,87,87,1078,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,1140,1140,True,165,83,82,0,0,82,82,1058,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,1165,1165,True,171,84,87,0,0,87,87,1078,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_253C26F1BF4B2985C601,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,1161,1161,True,166,83,83,0,0,83,83,1078,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,923,923,True,136,68,68,0,0,68,68,855,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,928,928,True,140,67,73,0,0,73,73,855,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,938,938,True,117,66,51,0,0,51,51,887,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_BDFB23ADB9531057AE1C,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,928,928,True,140,67,73,0,0,73,73,855,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_BDFB23ADB9531057AE1C,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,938,938,True,117,66,51,0,0,51,51,887,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_447E05427C2D6C44CC40,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,944,944,True,137,68,69,0,0,69,69,875,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_447E05427C2D6C44CC40,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,998,998,True,126,70,56,0,0,56,56,942,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_90732AAA7ED6876C7E68,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,1310,1310,True,148,83,65,0,0,65,65,1245,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_1CFF140A9BB35DBEE86F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,129,129,True,26,16,10,0,0,10,10,119,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_1CFF140A9BB35DBEE86F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,131,131,True,27,16,11,0,0,11,11,120,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_1CFF140A9BB35DBEE86F,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,73,73,True,14,9,5,0,0,5,5,68,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,129,129,True,28,16,12,0,0,12,12,117,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,131,131,True,29,16,13,0,0,13,13,118,1,1,0,True,TEMPORAL_STRATIFICATION
