case_name,status,graph_edge_id,run_id,source_sar_frame,destination_sar_frame,sar_topology_state,sar_p0_residual_state,soft_intersection_px,soft_iou,detail_pack
clear_split_high_iou,RENDERED,TERGE_9E4C591EC7B819FF88B3,R01ZF,50.0,51.0,P0_SPLIT_LIKE,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,2243.001953125,0.8369416372300877,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\topology_stratified_cases\01_clear_split_high_iou_TERGE_9E4C591EC7B819FF88B3.png
clear_merge_high_iou,RENDERED,TERGE_061EAEA3EB63A4D88121,R01ZF,51.0,52.0,P0_MERGE_LIKE,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,2180.751953125,0.8259648011883353,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\topology_stratified_cases\02_clear_merge_high_iou_TERGE_061EAEA3EB63A4D88121.png
deformation_with_topology,RENDERED,TERGE_87639AB3E981B64E8F29,R01ZF,50.0,51.0,P0_SPLIT_LIKE,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,2243.001953125,0.8369416372300877,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\topology_stratified_cases\03_deformation_with_topology_TERGE_87639AB3E981B64E8F29.png
weak_edge_topology,RENDERED,TERGE_1EAF222B81CCB60BA5C5,R01ZF,43.0,44.0,P0_SPLIT_LIKE,SAR_P0_RESIDUAL_BELOW_COMMON,1.2890625,0.00033943144204876707,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\topology_stratified_cases\04_weak_edge_topology_TERGE_1EAF222B81CCB60BA5C5.png
boundary_topology,CATEGORY_NOT_OBSERVED,,,,,,,,,
lowest_iou_supported,RENDERED,TERGE_41D136A6C3D90EE28606,R01ZF,43.0,44.0,P0_SPLIT_LIKE,SAR_P0_RESIDUAL_BELOW_COMMON,1.2890625,0.00033943144204876707,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\topology_stratified_cases\06_lowest_iou_supported_TERGE_41D136A6C3D90EE28606.png
