explanation_component_id,segment_id,run_id,track_id,graph_edge_id,source_sar_frame,destination_sar_frame,source_region_id,destination_region_id,soft_intersection_px,source_total_retention,destination_explained_fraction,soft_iou,audit_edge_family,sar_p0_residual_state,sar_topology_state,mutual_local_dominant,exact_one_soft_pixel_mass,component_node_count,component_frame_count,small_side_node_count,large_side_node_count,small_side_frame_count,large_side_frame_count,bridge_frame_balance
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_1CA5E105B370CFAF0554,14,15,R01ZF_SARF000014__Q095__R0002,R01ZF_SARF000015__Q095__R0003,541.1484375,0.8508623231132075,0.9732885566546763,0.8314467824604784,DEFORMATION_LINK,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,1,15,1,15,0.06666666666666667
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_B9FD372C541B652F15FF,8,9,R01ZF_SARF000008__Q095__R0001,R01ZF_SARF000009__Q095__R0001,711.1875,0.9877604166666667,0.8174568965517242,0.8092596543631321,CORE_CONTINUATION,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,7,9,7,9,0.7777777777777778
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_4F9147C7479AC3E75F1C,9,10,R01ZF_SARF000009__Q095__R0001,R01ZF_SARF000010__Q095__R0001,671.40625,0.7717313218390804,0.9991164434523809,0.7712049965899709,DEFORMATION_LINK,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,6,10,6,10,0.6
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_283F8B69B1CB7E55457C,12,13,R01ZF_SARF000012__Q095__R0001,R01ZF_SARF000013__Q095__R0001,707.65625,0.9614894701086957,0.9562922297297297,0.9210151706186196,DEFORMATION_LINK,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,3,13,3,13,0.23076923076923078
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_95CB59CA84C91C4887AB,13,14,R01ZF_SARF000013__Q095__R0001,R01ZF_SARF000014__Q095__R0002,632.5,0.8547297297297297,0.9944968553459119,0.8507061197041023,DEFORMATION_LINK,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,2,14,2,14,0.14285714285714285
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_3FE7BA47DEF1B522E448,11,12,R01ZF_SARF000011__Q095__R0001,R01ZF_SARF000012__Q095__R0001,701.87890625,0.9370879923230975,0.9536398182744565,0.8962584609859386,DEFORMATION_LINK,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,4,12,4,12,0.3333333333333333
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_A99731589FF9C888D2E5,5,6,R01ZF_SARF000005__Q095__R0001,R01ZF_SARF000006__Q095__R0001,673.08984375,0.9170161358991825,0.9233056841563786,0.8521093676594945,DEFORMATION_LINK,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,6,10,6,10,0.6
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_FB604D982CEC20882C61,6,7,R01ZF_SARF000006__Q095__R0001,R01ZF_SARF000007__Q095__R0001,689.955078125,0.9464404363854595,0.8243190897550776,0.787579564582474,CORE_CONTINUATION,SAR_P0_RESIDUAL_COMMON_COMPATIBLE,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,7,9,7,9,0.7777777777777778
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_07C344B156FB04E90DF8,10,11,R01ZF_SARF000010__Q095__R0001,R01ZF_SARF000011__Q095__R0001,643.37890625,0.9574090866815477,0.858983853471295,0.827368124940348,CORE_CONTINUATION,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,5,11,5,11,0.45454545454545453
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_D8B0D744F3B698F25679,7,8,R01ZF_SARF000007__Q095__R0001,R01ZF_SARF000008__Q095__R0001,706.25,0.8437873357228196,0.9809027777777778,0.8301498677637379,CORE_CONTINUATION,SAR_P0_RESIDUAL_COMMON_COMPATIBLE,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,False,16,16,8,8,8,8,1.0
