segment_id,run_id,track_id,variant,component_count,multi_frame_component_count,isolated_component_count,largest_component_node_count,largest_component_frame_count,full_frame_coverage_component_count
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,ALL_POSITIVE_SOFT_SUPPORT,46,27,19,23,16,3
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,REMOVE_EXACT_ONE_SOFT_PIXEL_MASS,46,27,19,23,16,3
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,REMOVE_BOTTOM_1PCT_SOFT_IOU,47,27,20,23,16,3
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,REMOVE_NONDOMINANT_BOTTOM_DECILE,50,27,23,21,16,3
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,MUTUAL_LOCAL_DOMINANCE_ONLY,53,30,23,16,16,3
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,ALL_POSITIVE_SOFT_SUPPORT,47,30,17,20,16,4
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,REMOVE_EXACT_ONE_SOFT_PIXEL_MASS,47,30,17,20,16,4
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,REMOVE_BOTTOM_1PCT_SOFT_IOU,48,30,18,20,16,4
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,REMOVE_NONDOMINANT_BOTTOM_DECILE,52,30,22,18,16,4
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,MUTUAL_LOCAL_DOMINANCE_ONLY,54,32,22,16,16,4
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,ALL_POSITIVE_SOFT_SUPPORT,171,84,87,101,91,1
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,REMOVE_EXACT_ONE_SOFT_PIXEL_MASS,172,84,88,101,91,1
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,REMOVE_BOTTOM_1PCT_SOFT_IOU,181,85,96,99,91,1
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,REMOVE_NONDOMINANT_BOTTOM_DECILE,215,101,114,91,91,1
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,MUTUAL_LOCAL_DOMINANCE_ONLY,227,106,121,91,91,1
TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,ALL_POSITIVE_SOFT_SUPPORT,165,83,82,91,91,1
