graph_edge_id,run_id,track_id,source_sar_frame,destination_sar_frame,source_region_id,destination_region_id,soft_intersection_px,source_total_retention,destination_explained_fraction,soft_iou,sar_p0_residual_state,sar_topology_state,p0_supported_continuation,mutual_local_dominant,outgoing_relative_strength,incoming_relative_strength,audit_edge_family,exact_one_soft_pixel_mass
TERGE_BB5AF7B88B311734BDFA,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0001,728.615234375,0.9625036121202114,0.8242253782522625,0.7985832971201414,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,True,1.0,1.0,DEFORMATION_LINK,False
TERGE_4B4A155BD62B4F93CC5F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0002,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_BELOW_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_3CE8B2CFD4BD485BB4E0,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0007,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_2F1B9D3C4ECD9138FB71,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0008,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_278CB8470E57591103B1,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0014,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_BELOW_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_3BB177333A0F96185550,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0018,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_6ECBDBAD6667A2ED8DE5,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0020,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_BELOW_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_2AAB101CCE674DA8A77D,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0023,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_748283336584D22B6C77,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0029,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_BELOW_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_DF8ECE14C2D0AB6F9F86,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0030,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_BELOW_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_E3BB4C422BC3EFDEAB45,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0042,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_BELOW_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_2821DEAA8FA0DD8D2587,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0001,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_F11BF31AE38C81DEC333,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0002,422.751953125,0.9478743343609866,0.8192867308624031,0.7839656639924664,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,True,True,1.0,1.0,DEFORMATION_LINK,False
TERGE_9536942E2756266ABF36,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0007,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_FEA4B4D3AE6683FD7ED5,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0008,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_CFC1827498B835085886,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0014,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_2FEC7BEC00C441111CBE,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0018,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_33AAA78FE6B36BB0001A,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0020,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_621590760C45EB40F9A4,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0023,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_92FF6D22672D7F9C3451,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0029,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_E3F0C87E00B238FCEF7F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0030,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_03BD9CED5519548BFCE3,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0042,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
TERGE_98EAC9E6859271DA491A,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,1,R01ZF_SARF000000__Q095__R0007,R01ZF_SARF000001__Q095__R0001,0.0,0.0,0.0,0.0,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED,False,,,,UNSUPPORTED,False
