order_profile_id,segment_id,run_id,track_a,track_b,current_relative_order_compatibility,current_shared_region_frame_count,component_pair_space_size,component_pairs_with_common_frames,possible_relation_set,relation_set_classification,pair_frame_left_count,pair_frame_right_count,pair_frame_shared_count,pair_frame_overlap_count,component_pair_support_left_count,component_pair_support_right_count,component_pair_support_shared_count,component_pair_support_overlap_count,exclusive_component_pair_left_count,exclusive_component_pair_right_count,exclusive_component_pair_shared_count,exclusive_component_pair_overlap_count
TERGOP_8E0D94B62305675DA5AC,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,8,812,546,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,592,125,78,599,263,76,23,210,242,71,23,184
TERGOP_C848B98F5103131ECADE,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,7,364,288,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,803,7,76,0,283,1,18,0,269,0,5
TERGOP_80125FFAF8F65436A1DC,TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,7,377,303,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,827,7,53,0,295,1,13,0,289,1,7
TERGOP_F1E7B8BD08B6B698C326,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,8,990,646,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,577,183,90,702,276,110,28,260,255,103,28,232
TERGOP_0CFEEE44038B08B33769,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,4,450,366,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,1068,4,50,0,364,1,15,0,350,0,2
TERGOP_19EF744EFC8717F6F813,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,4,495,401,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,1143,4,39,0,393,2,16,0,383,1,7
TERGOP_EDCC6D1C572F4032018F,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,8,870,590,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,545,182,89,667,244,110,27,243,219,101,27,209
TERGOP_63C58ED3472CE7C59E07,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,3,493,378,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,1060,3,39,0,377,1,14,0,363,0,1
TERGOP_B64D98653BFC04C6ED9A,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,3,510,394,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,1120,3,30,0,387,2,15,0,377,1,6
TERGOP_A75EB123ED4EA1E538A7,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,8,792,459,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,375,149,74,398,208,75,22,175,193,69,22,154
TERGOP_4129E34EE8EEB87DDE6B,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,7,858,510,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,1023,9,95,0,479,2,42,0,466,1,30
TERGOP_CBCFAD6F5BE990615771,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,7,624,405,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,963,7,74,0,385,1,28,0,376,1,19
TERGOP_EB6CCAB0DAAA1E055CD1,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,8,624,434,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,374,235,89,453,154,110,24,175,138,97,24,146
TERGOP_7B1DFFF1BD03840B97B5,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,ORDER_SUPPORTIVE,0,598,399,{RIGHT},SINGLE_RELATION_NO_SHARED,0,998,0,0,0,399,0,0,0,399,0,0
TERGOP_E34BD258DD9BFD085526,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,ORDER_SUPPORTIVE,0,552,391,{RIGHT},SINGLE_RELATION_NO_SHARED,0,1032,0,0,0,391,0,0,0,391,0,0
TERGOP_9038682A68020427B4C7,TERGS_5CE262A17741C5FC8BFB,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,5,100,75,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,43,18,24,58,30,9,8,28,30,9,8,28
TERGOP_5DC518443F94454B8E13,TERGS_DA539F692DB3CF52F38F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,6,110,79,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,50,20,28,65,35,9,8,28,34,9,8,27
TERGOP_B7089067C25D468826C9,TERGS_A6E046163A60B75E621B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,9,323,151,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,91,39,45,108,66,23,15,50,63,23,15,47
TERGOP_16D7746183432655D65A,TERGS_6436F78EE3B62E359C28,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,23,1920,510,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,385,188,140,414,211,102,39,185,191,95,39,158
TERGOP_14D185AC4AAF28B8675F,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,8,340,208,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,165,81,55,177,100,37,15,71,90,32,15,56
TERGOP_11A469429C8A81905FE0,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,4,280,130,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,3,176,9,20,3,109,6,13,3,108,6,12
TERGOP_76426792894736EAE2FA,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,1,80,32,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,42,1,1,0,30,1,1,0,30,1,1
TERGOP_AC9A48B9A7E1E597943C,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,3,238,130,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,202,5,13,0,123,2,6,0,122,2,5
TERGOP_FC72507364123FBBF947,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,ORDER_SUPPORTIVE,0,68,38,{RIGHT},SINGLE_RELATION_NO_SHARED,0,54,0,0,0,38,0,0,0,38,0,0
TERGOP_82A10650D3B8E3892C57,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,2,56,28,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,5,21,5,3,5,16,4,3,5,16,4,3
TERGOP_7EAEA1F706B74D0CEA0E,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,5,154,128,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,92,54,35,113,54,25,11,50,47,20,11,38
TERGOP_722FF98E6AE0A93EBAC5,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,2,126,87,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,1,123,4,7,1,75,4,7,1,75,4,7
TERGOP_502E22A20AD671392149,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,1,99,76,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,127,1,2,0,73,1,2,0,73,1,2
TERGOP_2DAB70CC63B33B860E98,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,8,304,206,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,187,91,57,184,94,41,15,73,82,36,15,56
TERGOP_DCF984A8A07A8435C1B5,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,5,323,163,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,5,215,13,29,4,138,7,17,3,136,7,14
TERGOP_254F224FC00AFA005ECA,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,2,114,54,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,76,2,2,0,52,1,2,0,51,1,1
TERGOP_5D4FBCF5EFEBCB9F38FA,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,1,76,36,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,34,1,1,0,34,1,1,0,34,1,1
TERGOP_7C11C596AAC78813A48B,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,4,272,163,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,252,8,20,0,153,3,8,0,152,3,7
TERGOP_6591FF3E06AFA716311C,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,ORDER_SUPPORTIVE,0,96,60,{RIGHT},SINGLE_RELATION_NO_SHARED,0,94,0,0,0,60,0,0,0,60,0,0
TERGOP_C262180A006B74980A57,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,ORDER_SUPPORTIVE,0,64,40,{RIGHT},SINGLE_RELATION_NO_SHARED,0,40,0,0,0,40,0,0,0,40,0,0
